Altium Designer Pick and Place Locations
D:\Altera_projects\UA3REO-DDC-Transceiver-hristo\Scheme\ALTIUM_DESIGNER\FRONT-UNIT-7\Project Outputs for FRONT-UNIT-7\Pick Place\Pick Place for FRONT-UNIT-7.csv

========================================================================================================================
File Design Information:

Date:       04/03/22
Time:       23:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R33","4.7k","BottomLayer","R-0805","70.4850","27.0002","270","Chip Resistor"
"R32","4.7k","BottomLayer","R-0805","72.3646","27.0002","270","Chip Resistor"
"D3","SMAJ5.0A-TR","BottomLayer","SMBJ36CATR","3.7592","75.9968","90","Diode"
"D4","SMAJ5.0A-TR","BottomLayer","SMBJ36CATR","20.4000","72.4750","90","Diode"
"D6","SMAJ5.0A-TR","BottomLayer","SMBJ36CATR","3.7592","58.4250","90","Diode"
"D7","SMAJ5.0A-TR","BottomLayer","SMBJ36CATR","20.4000","58.4250","90","Diode"
"J5","PJ-3583-B","TopLayer","PJ3583B","12.0000","72.5000","180","Connector"
"J7","PJ-3583-B","TopLayer","PJ3583B","12.0000","58.5000","180","Connector"
"P2","S6B-PH-SM4-TB(LF)(SN)","BottomLayer","JST-S6B-PH-SM4-TB(LF)(SN)_V","43.2308","59.1312","180","Male Header, Pitch 2 mm, 1 x 6 Position, Height 5.5 mm, -25 to 85 degC"
"L5","IHLP2525CZER100M01","BottomLayer","INDPM6965X300N","58.7248","101.3968","0","Inductor"
"L2","IHLP2525CZER100M01","BottomLayer","INDPM6965X300N","58.7248","115.8748","0","Inductor"
"C22","22uF 10V","BottomLayer","CAPAE_4.3X4.3H5.4","59.0994","106.7816","0","CAPAE_4.3x4.3h5.4"
"C9","22uF 10V","BottomLayer","CAPAE_4.3X4.3H5.4","59.0994","110.4392","0","CAPAE_4.3x4.3h5.4"
"J3","42878-6216","TopLayer","428786216","11.9888","20.0870","0","Connector"
"C1","470uF 25V","BottomLayer","SMD-G-10X10.2","43.5610","104.7496","0","CAP ALUM 470UF 20% 25V SMD"
"C2","470uF 25V","BottomLayer","SMD-G-10X10.2","43.5864","115.5192","0","CAP ALUM 470UF 20% 25V SMD"
"C26","100nF","BottomLayer","CAP_0805","54.6354","20.8534","90","CAP_0805"
"C15","10uF 10V","BottomLayer","CAPAE_4.3X4.3H5.4","88.7984","88.7666","90","CAPAE_4.3x4.3h5.4"
"C14","100nF","BottomLayer","CAP_0805","85.9790","87.7824","270","CAP_0805"
"P1","S5B-PH-SM4-TB(LF)(SN)","BottomLayer","JST-S5B-PH-SM4-TB_V","43.8912","93.3212","180","Male Header, Pitch 2 mm, 1 x 5 Position, Height 5.5 mm, -25 to 85 degC, RoHS, Tape and Reel"
