refdes,pin,voltage,current
U16,4,1.1995,0.5
U16,1,0.0,-0.5
U11,138,1.19643,-0.0277821
U11,134,1.19647,-0.0277921
U11,124,1.19627,-0.0277421
U11,116,1.19594,-0.0276596
U11,109,1.19573,-0.0276088
U11,102,1.19605,-0.0276876
U11,84,1.19605,-0.0276881
U11,78,1.19614,-0.0277096
U11,73,1.1961,-0.0277002
U11,70,1.19619,-0.0277233
U11,61,1.19643,-0.0277809
U11,45,1.19675,-0.0278616
U11,38,1.19686,-0.0278874
U11,37,1.19684,-0.0278834
U11,34,1.19693,-0.027906
U11,29,1.19698,-0.0279173
U11,5,1.19663,-0.0278308
U11,1,1.19666,-0.0278397
U11,pdna_pin_145_1,0.000726181,0.0227366
U11,pdna_pin_145_2,0.0,0.0
U11,140,0.000656341,0.0227539
U11,131,0.000620711,0.0227627
U11,123,0.000818312,0.0227138
U11,118,0.000664,0.022752
U11,108,0.000663492,0.0227521
U11,97,0.00073812,0.0227336
U11,95,0.000748377,0.0227311
U11,94,0.000747663,0.0227313
U11,82,0.000829187,0.0227111
U11,79,0.000773321,0.0227249
U11,74,0.000803488,0.0227174
U11,63,0.000788282,0.0227212
U11,57,0.000792634,0.0227201
U11,48,0.0007894,0.0227209
U11,41,0.000783223,0.0227225
U11,36,0.000766077,0.0227267
U11,27,0.000829287,0.0227111
U11,22,0.000808072,0.0227163
U11,19,0.000821626,0.022713
U11,4,0.000817163,0.0227141
U11,2,0.000816356,0.0227143
