x,y,layer1,layer2,voltage1,voltage2,current
31.6703,563.937,TOP_LAYER,GND,0.000740942,0.00074094,1.50109e-05
31.6703,563.937,GND,POWER,0.00074094,0.000740908,1.50109e-05
31.6703,563.937,POWER,BOTTOM_LAYER,0.000740908,0.000740901,4.61479e-05
31.6703,591.657,TOP_LAYER,GND,0.000741112,0.000741107,3.77152e-05
31.6703,591.657,GND,POWER,0.000741107,0.000741026,3.77152e-05
31.6703,591.657,POWER,BOTTOM_LAYER,0.000741026,0.000741014,8.64245e-05
31.6703,1378.82,TOP_LAYER,GND,0.000743203,0.000743206,-1.67594e-05
31.6703,1378.82,GND,POWER,0.000743206,0.000743242,-1.67594e-05
31.6703,1378.82,POWER,BOTTOM_LAYER,0.000743242,0.000743241,7.50229e-07
31.7827,1406.54,TOP_LAYER,GND,0.000743247,0.000743248,-6.72565e-06
31.7827,1406.54,GND,POWER,0.000743248,0.000743263,-6.72565e-06
31.7827,1406.54,POWER,BOTTOM_LAYER,0.000743263,0.000743263,-3.62727e-06
35.2127,42.7816,TOP_LAYER,GND,0.000733509,0.000733511,-1.46654e-05
35.2127,42.7816,GND,POWER,0.000733511,0.000733503,3.67812e-06
35.2127,42.7816,POWER,BOTTOM_LAYER,0.000733503,0.000733503,3.67812e-06
35.2127,200.262,TOP_LAYER,GND,0.000733615,0.000733633,-0.000126129
35.2127,200.262,GND,POWER,0.000733633,0.000733553,3.78291e-05
35.2127,200.262,POWER,BOTTOM_LAYER,0.000733553,0.000733547,3.78291e-05
35.2127,515.223,TOP_LAYER,GND,0.000740704,0.000740711,-4.8795e-05
35.2127,515.223,GND,POWER,0.000740711,0.000740815,-4.8795e-05
35.2127,515.223,POWER,BOTTOM_LAYER,0.000740815,0.000740816,-4.94429e-06
35.2127,751.443,TOP_LAYER,GND,0.00074151,0.000741512,-9.75324e-06
35.2127,751.443,GND,POWER,0.000741512,0.000741532,-9.75324e-06
35.2127,751.443,POWER,BOTTOM_LAYER,0.000741532,0.00074153,1.80509e-05
35.2127,830.184,TOP_LAYER,GND,0.000741968,0.000741964,2.65136e-05
35.2127,830.184,GND,POWER,0.000741964,0.000741908,2.65136e-05
35.2127,830.184,POWER,BOTTOM_LAYER,0.000741908,0.0007419,5.3798e-05
35.2127,987.664,TOP_LAYER,GND,0.000742502,0.0007425,1.23262e-05
35.2127,987.664,GND,POWER,0.0007425,0.000742474,1.23262e-05
35.2127,987.664,POWER,BOTTOM_LAYER,0.000742474,0.000742471,2.17284e-05
35.2127,1145.14,TOP_LAYER,GND,0.000742902,0.000742902,4.42212e-06
35.2127,1145.14,GND,POWER,0.000742902,0.000742892,4.42212e-06
35.2127,1145.14,POWER,BOTTOM_LAYER,0.000742892,0.000742888,3.21407e-05
35.2127,1223.88,TOP_LAYER,GND,0.000743054,0.000743052,1.24972e-05
35.2127,1223.88,GND,POWER,0.000743052,0.000743025,1.24972e-05
35.2127,1223.88,POWER,BOTTOM_LAYER,0.000743025,0.000743031,-4.0142e-05
35.2127,1460.11,TOP_LAYER,GND,0.000743257,0.000743258,-6.98591e-06
35.2127,1460.11,GND,POWER,0.000743258,0.000743273,-6.98591e-06
35.2127,1460.11,POWER,BOTTOM_LAYER,0.000743273,0.000743273,1.5972e-06
35.2127,1538.85,TOP_LAYER,GND,0.000743213,0.000743213,4.6085e-06
35.2127,1538.85,GND,POWER,0.000743213,0.000743248,-1.64343e-05
35.2127,1538.85,POWER,BOTTOM_LAYER,0.000743248,0.000743247,7.22746e-06
35.2127,1696.33,TOP_LAYER,GND,0.000742908,0.000742905,2.4257e-05
35.2127,1696.33,GND,POWER,0.000742905,0.000742895,4.72212e-06
35.2127,1696.33,POWER,BOTTOM_LAYER,0.000742895,0.000742894,4.72212e-06
35.2127,1775.07,TOP_LAYER,GND,0.000742815,0.000742816,-4.81434e-06
35.2127,1775.07,GND,POWER,0.000742816,0.000742817,-7.82595e-07
35.2127,1775.07,POWER,BOTTOM_LAYER,0.000742817,0.000742817,-7.82595e-07
35.2127,1932.55,TOP_LAYER,GND,0.000742759,0.000742759,-5.46949e-07
35.2127,1932.55,GND,POWER,0.000742759,0.000742759,1.76018e-07
35.2127,1932.55,POWER,BOTTOM_LAYER,0.000742759,0.000742759,1.76018e-07
42.219,1353.18,TOP_LAYER,GND,0.000743203,0.000743206,-1.67594e-05
42.219,1353.18,GND,POWER,0.000743206,0.000743242,-1.67594e-05
42.219,1353.18,POWER,BOTTOM_LAYER,0.000743242,0.000743247,-3.56075e-05
47.8726,541.445,TOP_LAYER,GND,0.000740787,0.000740791,-2.63493e-05
47.8726,541.445,GND,POWER,0.000740791,0.000740847,-2.63493e-05
47.8726,541.445,POWER,BOTTOM_LAYER,0.000740847,0.000740858,-7.8492e-05
53.2318,609.078,TOP_LAYER,GND,0.000741163,0.000741157,3.88718e-05
53.2318,609.078,GND,POWER,0.000741157,0.000741074,3.88718e-05
53.2318,609.078,POWER,BOTTOM_LAYER,0.000741074,0.00074108,-3.95809e-05
54.8977,475.853,TOP_LAYER,GND,0.000740605,0.000740614,-6.59101e-05
54.8977,475.853,GND,POWER,0.000740614,0.000740755,-6.59101e-05
54.8977,475.853,POWER,BOTTOM_LAYER,0.000740755,0.000740756,-6.35816e-06
54.8977,790.813,TOP_LAYER,GND,0.000741817,0.000741811,4.0497e-05
54.8977,790.813,GND,POWER,0.000741811,0.000741725,4.0497e-05
54.8977,790.813,POWER,BOTTOM_LAYER,0.000741725,0.000741715,6.4133e-05
54.8977,948.294,TOP_LAYER,GND,0.000742387,0.000742384,1.82185e-05
54.8977,948.294,GND,POWER,0.000742384,0.000742346,1.82185e-05
54.8977,948.294,POWER,BOTTOM_LAYER,0.000742346,0.000742337,5.93487e-05
54.8977,1184.51,TOP_LAYER,GND,0.000742991,0.000742991,-1.19528e-06
54.8977,1184.51,GND,POWER,0.000742991,0.000742994,-1.19528e-06
54.8977,1184.51,POWER,BOTTOM_LAYER,0.000742994,0.00074298,9.08869e-05
54.8977,1499.48,TOP_LAYER,GND,0.000743246,0.000743248,-1.2944e-05
54.8977,1499.48,GND,POWER,0.000743248,0.000743276,-1.2944e-05
54.8977,1499.48,POWER,BOTTOM_LAYER,0.000743276,0.000743275,3.52094e-07
54.8977,1735.7,TOP_LAYER,GND,0.00074284,0.000742842,-1.14579e-05
54.8977,1735.7,GND,POWER,0.000742842,0.000742845,-1.74103e-06
54.8977,1735.7,POWER,BOTTOM_LAYER,0.000742845,0.000742845,-1.74103e-06
55.9562,1420.1,TOP_LAYER,GND,0.000743261,0.000743262,-4.94834e-06
55.9562,1420.1,GND,POWER,0.000743262,0.000743272,-4.94834e-06
55.9562,1420.1,POWER,BOTTOM_LAYER,0.000743272,0.000743272,2.68507e-06
69.9298,1352.47,TOP_LAYER,GND,0.000743216,0.000743218,-1.34471e-05
69.9298,1352.47,GND,POWER,0.000743218,0.000743247,-1.34471e-05
69.9298,1352.47,POWER,BOTTOM_LAYER,0.000743247,0.000743247,1.69986e-06
92.9543,663.739,TOP_LAYER,GND,0.000741359,0.000741357,9.88801e-05
92.9543,663.739,GND,POWER,0.000741357,0.000741328,9.88801e-05
92.9543,663.739,POWER,BOTTOM_LAYER,0.000741328,0.000741329,-4.33164e-05
92.9543,863.739,TOP_LAYER,GND,0.000742137,0.000742138,-4.27538e-05
92.9543,863.739,GND,POWER,0.000742138,0.00074215,-4.27538e-05
92.9543,863.739,POWER,BOTTOM_LAYER,0.00074215,0.000742154,-0.000205505
92.9543,1057.44,TOP_LAYER,GND,0.00074274,0.000742741,-5.74135e-05
92.9543,1057.44,GND,POWER,0.000742741,0.000742758,-5.74135e-05
92.9543,1057.44,POWER,BOTTOM_LAYER,0.000742758,0.000742761,-0.000145458
92.9543,1257.44,TOP_LAYER,GND,0.000743132,0.000743134,-9.31845e-05
92.9543,1257.44,GND,POWER,0.000743134,0.000743161,-9.31845e-05
92.9543,1257.44,POWER,BOTTOM_LAYER,0.000743161,0.000743163,-7.55704e-05
74.5828,751.443,TOP_LAYER,GND,0.0007415,0.000741502,-1.23543e-05
74.5828,751.443,GND,POWER,0.000741502,0.000741528,-1.23543e-05
74.5828,751.443,POWER,BOTTOM_LAYER,0.000741528,0.000741516,7.97797e-05
74.5828,987.664,TOP_LAYER,GND,0.000742508,0.000742506,1.32296e-05
74.5828,987.664,GND,POWER,0.000742506,0.000742478,1.32296e-05
74.5828,987.664,POWER,BOTTOM_LAYER,0.000742478,0.000742474,2.63365e-05
74.5828,1145.14,TOP_LAYER,GND,0.000742906,0.000742905,4.84888e-06
74.5828,1145.14,GND,POWER,0.000742905,0.000742895,4.84888e-06
