vrefdes,vpin,refdes,pin
VCOMP0,0,U16,4
VCOMP0,1,U16,1
VCOMP1,0,U11,138
VCOMP1,1,U11,134
VCOMP1,2,U11,124
VCOMP1,3,U11,116
VCOMP1,4,U11,109
VCOMP1,5,U11,102
VCOMP1,6,U11,84
VCOMP1,7,U11,78
VCOMP1,8,U11,73
VCOMP1,9,U11,70
VCOMP1,10,U11,61
VCOMP1,11,U11,45
VCOMP1,12,U11,38
VCOMP1,13,U11,37
VCOMP1,14,U11,34
VCOMP1,15,U11,29
VCOMP1,16,U11,5
VCOMP1,17,U11,1
VCOMP1,18,U11,pdna_pin_145_1
VCOMP1,19,U11,pdna_pin_145_2
VCOMP1,20,U11,140
VCOMP1,21,U11,131
VCOMP1,22,U11,123
VCOMP1,23,U11,118
VCOMP1,24,U11,108
VCOMP1,25,U11,97
VCOMP1,26,U11,95
VCOMP1,27,U11,94
VCOMP1,28,U11,82
VCOMP1,29,U11,79
VCOMP1,30,U11,74
VCOMP1,31,U11,63
VCOMP1,32,U11,57
VCOMP1,33,U11,48
VCOMP1,34,U11,41
VCOMP1,35,U11,36
VCOMP1,36,U11,27
VCOMP1,37,U11,22
VCOMP1,38,U11,19
VCOMP1,39,U11,4
VCOMP1,40,U11,2
