refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,1.1995,0.5,0
VCOMP0,VCOMP0-1,0,-0.5,0
VCOMP1,VCOMP1-0,1.19643,-0.0277821,4.03902
VCOMP1,VCOMP1-1,1.19647,-0.0277921,4.03902
VCOMP1,VCOMP1-2,1.19627,-0.0277421,4.03902
VCOMP1,VCOMP1-3,1.19594,-0.0276596,4.03902
VCOMP1,VCOMP1-4,1.19573,-0.0276088,4.03902
VCOMP1,VCOMP1-5,1.19605,-0.0276876,4.03902
VCOMP1,VCOMP1-6,1.19605,-0.0276881,4.03902
VCOMP1,VCOMP1-7,1.19614,-0.0277096,4.03902
VCOMP1,VCOMP1-8,1.1961,-0.0277002,4.03902
VCOMP1,VCOMP1-9,1.19619,-0.0277233,4.03902
VCOMP1,VCOMP1-10,1.19643,-0.0277809,4.03902
VCOMP1,VCOMP1-11,1.19675,-0.0278616,4.03902
VCOMP1,VCOMP1-12,1.19686,-0.0278874,4.03902
VCOMP1,VCOMP1-13,1.19684,-0.0278834,4.03902
VCOMP1,VCOMP1-14,1.19693,-0.027906,4.03902
VCOMP1,VCOMP1-15,1.19698,-0.0279173,4.03902
VCOMP1,VCOMP1-16,1.19663,-0.0278308,4.03902
VCOMP1,VCOMP1-17,1.19666,-0.0278397,4.03902
VCOMP1,VCOMP1-18,0.000726181,0.0227366,4.03902
VCOMP1,VCOMP1-19,0,0,4.03902
VCOMP1,VCOMP1-20,0.000656341,0.0227539,4.03902
VCOMP1,VCOMP1-21,0.000620711,0.0227627,4.03902
VCOMP1,VCOMP1-22,0.000818312,0.0227138,4.03902
VCOMP1,VCOMP1-23,0.000664,0.022752,4.03902
VCOMP1,VCOMP1-24,0.000663492,0.0227521,4.03902
VCOMP1,VCOMP1-25,0.00073812,0.0227336,4.03902
VCOMP1,VCOMP1-26,0.000748377,0.0227311,4.03902
VCOMP1,VCOMP1-27,0.000747663,0.0227313,4.03902
VCOMP1,VCOMP1-28,0.000829187,0.0227111,4.03902
VCOMP1,VCOMP1-29,0.000773321,0.0227249,4.03902
VCOMP1,VCOMP1-30,0.000803488,0.0227174,4.03902
VCOMP1,VCOMP1-31,0.000788282,0.0227212,4.03902
VCOMP1,VCOMP1-32,0.000792634,0.0227201,4.03902
VCOMP1,VCOMP1-33,0.0007894,0.0227209,4.03902
VCOMP1,VCOMP1-34,0.000783223,0.0227225,4.03902
VCOMP1,VCOMP1-35,0.000766077,0.0227267,4.03902
VCOMP1,VCOMP1-36,0.000829287,0.0227111,4.03902
VCOMP1,VCOMP1-37,0.000808072,0.0227163,4.03902
VCOMP1,VCOMP1-38,0.000821626,0.022713,4.03902
VCOMP1,VCOMP1-39,0.000817163,0.0227141,4.03902
VCOMP1,VCOMP1-40,0.000816356,0.0227143,4.03902
