refdes;pin;voltage;current
J7;3;13.7993;0.0
J7;4;13.7993;0.0
J7;1;0.0;-0.370706
J7;2;0.0;-0.370706
L5;2;4.99822;1.6657
U12;9;-0.000111179;-0.308096
U12;8;-0.000111179;-0.308096
U12;4;-0.000111179;-0.308096
U11;107;2.49972;-0.00799748
U11;96;2.49972;-0.00799743
U11;75;2.49973;-0.00799781
U11;35;2.49979;-0.0080008
U11;3;2.49991;-0.00800651
U11;pdna_pin_145_1;0.00145045;0.02288067
U11;pdna_pin_145_2;0.0;0.0
U11;140;0.00122659;0.02294482
U11;131;0.00114387;0.02296855
U11;123;0.00148096;0.02287187
U11;118;0.00122022;0.02294668
U11;108;0.00124122;0.022940620000000002
U11;97;0.0014233399999999997;0.02288838
U11;95;0.00144557;0.02288201
U11;94;0.00144526;0.02288213
U11;82;0.00158142;0.02284306
U11;79;0.00155592;0.02285042
U11;74;0.00161322;0.022833939999999997
U11;63;0.00166629;0.02281874
U11;57;0.0016726400000000002;0.022816879999999998
U11;48;0.0016924;0.022811230000000002
U11;41;0.00173304;0.02279963
U11;36;0.00173022;0.02280037
U11;27;0.00169233;0.022811230000000002
U11;22;0.0016202099999999997;0.02283192
U11;19;0.0015784199999999999;0.02284393
U11;4;0.0015008700000000003;0.022866200000000003
U11;2;0.00149893;0.02286678
U18;11;3.29584;-0.0284892
U18;20;3.29595;-0.0285227
U18;21;3.29597;-0.0285296
U18;27;3.29628;-0.0286243
U18;50;3.29493;-0.0282065
U18;75;3.29821;-0.0292236
U18;100;3.29556;-0.028404
U18;10;0.000612109;0.0333713
U18;19;0.000771376;0.033322
U18;26;0.000805824;0.0333113
U18;49;0.000834862;0.0333023
U18;74;0.000643858;0.0333615
U18;99;0.000740313;0.0333316
U17;8;3.29516;-0.00665884
U17;7;3.29518;-0.00666065
U17;3;3.29533;-0.00668052
U17;4;0.000808619;0.02
U19;7;3.29675;-0.00799992
U19;8;3.29675;-0.00800008
U19;4;0.000871573;0.00800028
U19;3;0.000878542;0.00799972
U10;3;3.29696;-0.00266954
U10;7;3.29687;-0.0026647
U10;8;3.29689;-0.00266576
U10;4;0.000674897;0.008
J4;4;3.29927;-0.03
J4;MP5;0.000116068;0.004294
J4;MP4;0.000106493;0.00429565
J4;MP6;0.000254603;0.00427026
J4;MP3;0.000120102;0.00429331
