x;y;layer1;layer2;voltage1;voltage2;current
31.6703;563.937;TOP_LAYER;GND;0.00176787;0.00176785;0.000169977
31.6703;563.937;GND;POWER;0.00176785;0.00176748;0.000169977
31.6703;563.937;POWER;BOTTOM_LAYER;0.00176748;0.00176736;0.000822581
31.6703;591.657;TOP_LAYER;GND;0.00177086;0.00177076;0.000644153
31.6703;591.657;GND;POWER;0.00177076;0.00176939;0.000644153
31.6703;591.657;POWER;BOTTOM_LAYER;0.00176939;0.00176917;0.00146342
31.6703;1378.82;TOP_LAYER;GND;0.00181761;0.00181768;-0.000517372
31.6703;1378.82;GND;POWER;0.00181768;0.00181879;-0.000517372
31.6703;1378.82;POWER;BOTTOM_LAYER;0.00181879;0.0018188;-0.000116089
31.7827;1406.54;TOP_LAYER;GND;0.00182021;0.00182021;1.85186e-05
31.7827;1406.54;GND;POWER;0.00182021;0.00182017;1.85186e-05
31.7827;1406.54;POWER;BOTTOM_LAYER;0.00182017;0.00182016;5.47418e-05
36.9436;245.537;TOP_LAYER;GND;13.2993;13.2993;-0
36.9436;245.537;GND;POWER;13.2993;13.2993;1.66563e-11
36.9436;245.537;POWER;BOTTOM_LAYER;13.2993;13.2993;1.21783e-11
42.219;1353.18;TOP_LAYER;GND;0.00181761;0.00181768;-0.000517372
42.219;1353.18;GND;POWER;0.00181768;0.00181879;-0.000517372
42.219;1353.18;POWER;BOTTOM_LAYER;0.00181879;0.00181891;-0.000875038
47.8726;541.445;TOP_LAYER;GND;0.00176509;0.00176518;-0.00061202
47.8726;541.445;GND;POWER;0.00176518;0.00176648;-0.00061202
47.8726;541.445;POWER;BOTTOM_LAYER;0.00176648;0.00176665;-0.00112476
53.2318;609.078;TOP_LAYER;GND;0.00177173;0.00177162;0.000710697
53.2318;609.078;GND;POWER;0.00177162;0.00177011;0.000710697
53.2318;609.078;POWER;BOTTOM_LAYER;0.00177011;0.00177022;-0.000747767
55.9562;1420.1;TOP_LAYER;GND;0.00182105;0.00182101;0.000305756
55.9562;1420.1;GND;POWER;0.00182101;0.00182036;0.000305756
55.9562;1420.1;POWER;BOTTOM_LAYER;0.00182036;0.00182032;0.000270118
61.3038;245.537;TOP_LAYER;GND;13.2993;13.2993;1.21783e-11
61.3038;245.537;GND;POWER;13.2993;13.2993;1.58235e-11
