refdes,pin,voltage,current
J7,3,13.7993,0.0
J7,4,13.7993,0.0
J7,1,0.0,-0.371087
J7,2,0.0,-0.371087
L5,2,4.99822,1.6657
U12,9,-0.000110521,-0.307841
U12,8,-0.000110521,-0.307841
U12,4,-0.000110521,-0.307841
U11,107,2.50128,-0.00799748
U11,96,2.50128,-0.00799743
U11,75,2.50129,-0.00799781
U11,35,2.50135,-0.0080008
U11,3,2.50146,-0.00800651
U11,pdna_pin_145_1,0.00145076,0.02288067
U11,pdna_pin_145_2,0.0,0.0
U11,140,0.00122689,0.02294482
U11,131,0.00114417,0.02296855
U11,123,0.00148128,0.02287187
U11,118,0.00122054,0.02294668
U11,108,0.00124155,0.022940620000000002
U11,97,0.00142367,0.02288838
U11,95,0.0014459,0.022882
U11,94,0.00144559,0.02288213
U11,82,0.00158173,0.02284306
U11,79,0.0015562199999999999,0.02285042
U11,74,0.00161352,0.022833939999999997
U11,63,0.0016666,0.02281874
U11,57,0.0016729400000000001,0.022816879999999998
U11,48,0.0016927,0.022811230000000002
U11,41,0.00173332,0.02279963
U11,36,0.0017305,0.022800380000000002
U11,27,0.0016926299999999999,0.022811230000000002
U11,22,0.0016205099999999997,0.02283192
U11,19,0.0015787299999999998,0.02284393
U11,4,0.0015011800000000002,0.022866200000000003
U11,2,0.00149924,0.02286678
U18,11,3.29589,-0.0284892
U18,20,3.296,-0.0285227
U18,21,3.29602,-0.0285296
U18,27,3.29633,-0.0286243
U18,50,3.29498,-0.0282065
U18,75,3.29826,-0.0292236
U18,100,3.29561,-0.028404
U18,10,0.000612393,0.0333713
U18,19,0.000771703,0.033322
U18,26,0.000806128,0.0333113
U18,49,0.0008352,0.0333023
U18,74,0.000644212,0.0333614
U18,99,0.000740643,0.0333316
U17,8,3.29521,-0.00665884
U17,7,3.29523,-0.00666065
U17,3,3.29538,-0.00668052
U17,4,0.000808964,0.02
U19,7,3.2968,-0.00799992
U19,8,3.2968,-0.00800008
U19,4,0.000871892,0.00800028
U19,3,0.000878861,0.00799972
U10,3,3.29701,-0.00266954
U10,7,3.29692,-0.0026647
U10,8,3.29694,-0.00266576
U10,4,0.000675149,0.008
J4,4,3.29932,-0.03
J4,MP5,0.000116163,0.00429401
J4,MP4,0.000106584,0.00429566
J4,MP6,0.000254768,0.00427025
J4,MP3,0.000120235,0.00429332
