x,y,layer1,layer2,voltage1,voltage2,current
31.6703,563.937,TOP_LAYER,GND,0.00176817,0.00176815,0.000169919
31.6703,563.937,GND,POWER,0.00176815,0.00176779,0.000169919
31.6703,563.937,POWER,BOTTOM_LAYER,0.00176779,0.00176767,0.000822431
31.6703,591.657,TOP_LAYER,GND,0.00177116,0.00177106,0.000644014
31.6703,591.657,GND,POWER,0.00177106,0.00176969,0.000644014
31.6703,591.657,POWER,BOTTOM_LAYER,0.00176969,0.00176947,0.00146314
31.6703,1378.82,TOP_LAYER,GND,0.00181789,0.00181797,-0.000517086
31.6703,1378.82,GND,POWER,0.00181797,0.00181907,-0.000517086
31.6703,1378.82,POWER,BOTTOM_LAYER,0.00181907,0.00181909,-0.000115983
31.7827,1406.54,TOP_LAYER,GND,0.00182049,0.00182049,1.84768e-05
31.7827,1406.54,GND,POWER,0.00182049,0.00182045,1.84768e-05
31.7827,1406.54,POWER,BOTTOM_LAYER,0.00182045,0.00182044,5.47146e-05
36.9436,245.537,TOP_LAYER,GND,13.2993,13.2993,-0
36.9436,245.537,GND,POWER,13.2993,13.2993,1.66563e-11
36.9436,245.537,POWER,BOTTOM_LAYER,13.2993,13.2993,1.21783e-11
42.219,1353.18,TOP_LAYER,GND,0.00181789,0.00181797,-0.000517086
42.219,1353.18,GND,POWER,0.00181797,0.00181907,-0.000517086
42.219,1353.18,POWER,BOTTOM_LAYER,0.00181907,0.0018192,-0.000874624
47.8726,541.445,TOP_LAYER,GND,0.00176539,0.00176548,-0.000611955
47.8726,541.445,GND,POWER,0.00176548,0.00176678,-0.000611955
47.8726,541.445,POWER,BOTTOM_LAYER,0.00176678,0.00176695,-0.00112459
53.2318,609.078,TOP_LAYER,GND,0.00177203,0.00177192,0.000710535
53.2318,609.078,GND,POWER,0.00177192,0.00177041,0.000710535
53.2318,609.078,POWER,BOTTOM_LAYER,0.00177041,0.00177052,-0.000747569
55.9562,1420.1,TOP_LAYER,GND,0.00182134,0.00182129,0.000305511
55.9562,1420.1,GND,POWER,0.00182129,0.00182064,0.000305511
55.9562,1420.1,POWER,BOTTOM_LAYER,0.00182064,0.0018206,0.00026996
61.3038,245.537,TOP_LAYER,GND,13.2993,13.2993,-0
61.3038,245.537,GND,POWER,13.2993,13.2993,1.66563e-11
61.3038,245.537,POWER,BOTTOM_LAYER,13.2993,13.2993,-0
69.9298,1352.47,TOP_LAYER,GND,0.001818,0.00181807,-0.000523895
69.9298,1352.47,GND,POWER,0.00181807,0.00181919,-0.000523895
69.9298,1352.47,POWER,BOTTOM_LAYER,0.00181919,0.0018192,-6.0564e-05
92.9543,663.739,TOP_LAYER,GND,0.00177552,0.00177548,0.00207247
92.9543,663.739,GND,POWER,0.00177548,0.00177487,0.00207247
92.9543,663.739,POWER,BOTTOM_LAYER,0.00177487,0.00177486,0.000264836
92.9543,863.739,TOP_LAYER,GND,0.00179035,0.00179035,-0.000130962
92.9543,863.739,GND,POWER,0.00179035,0.00179039,-0.000130962
92.9543,863.739,POWER,BOTTOM_LAYER,0.00179039,0.00179044,-0.00255806
92.9543,1057.44,TOP_LAYER,GND,0.0018038,0.00180382,-0.000730263
92.9543,1057.44,GND,POWER,0.00180382,0.00180403,-0.000730263
92.9543,1057.44,POWER,BOTTOM_LAYER,0.00180403,0.00180407,-0.00179936
92.9543,1257.44,TOP_LAYER,GND,0.00181511,0.00181516,-0.00242591
92.9543,1257.44,GND,POWER,0.00181516,0.00181588,-0.00242591
92.9543,1257.44,POWER,BOTTOM_LAYER,0.00181588,0.00181592,-0.00216776
