vrefdes,vpin,refdes,pin
VCOMP0,0,J7,3
VCOMP0,1,J7,4
VCOMP0,2,J7,1
VCOMP0,3,J7,2
VCOMP1,0,U11,107
VCOMP1,1,U11,96
VCOMP1,2,U11,75
VCOMP1,3,U11,35
VCOMP1,4,U11,3
VCOMP1,5,U11,pdna_pin_145_1
VCOMP1,6,U11,pdna_pin_145_2
VCOMP1,7,U11,140
VCOMP1,8,U11,131
VCOMP1,9,U11,123
VCOMP1,10,U11,118
VCOMP1,11,U11,108
VCOMP1,12,U11,97
VCOMP1,13,U11,95
VCOMP1,14,U11,94
VCOMP1,15,U11,82
VCOMP1,16,U11,79
VCOMP1,17,U11,74
VCOMP1,18,U11,63
VCOMP1,19,U11,57
VCOMP1,20,U11,48
VCOMP1,21,U11,41
VCOMP1,22,U11,36
VCOMP1,23,U11,27
VCOMP1,24,U11,22
VCOMP1,25,U11,19
VCOMP1,26,U11,4
VCOMP1,27,U11,2
VCOMP2,0,U18,11
VCOMP2,1,U18,20
VCOMP2,2,U18,21
VCOMP2,3,U18,27
VCOMP2,4,U18,50
VCOMP2,5,U18,75
VCOMP2,6,U18,100
VCOMP2,7,U18,10
VCOMP2,8,U18,19
VCOMP2,9,U18,26
VCOMP2,10,U18,49
VCOMP2,11,U18,74
VCOMP2,12,U18,99
VCOMP3,0,U17,8
VCOMP3,1,U17,7
VCOMP3,2,U17,3
VCOMP3,3,U17,4
VCOMP4,0,U19,7
VCOMP4,1,U19,8
VCOMP4,2,U19,4
VCOMP4,3,U19,3
VCOMP5,0,U10,3
VCOMP5,1,U10,7
VCOMP5,2,U10,8
VCOMP5,3,U10,4
VCOMP6,0,J4,4
VCOMP6,1,J4,MP5
VCOMP6,2,J4,MP4
VCOMP6,3,J4,MP6
VCOMP6,4,J4,MP3
VCOMP6,5,J4,6
VCOMP6,6,J4,MP2
VCOMP6,7,J4,MP1
VCOMP7,0,U5,16
VCOMP7,1,U5,14
VCOMP7,2,U5,13
VCOMP7,3,U5,12
VCOMP7,4,U5,8
VCOMP7,5,U5,9
VCOMP7,6,U5,2
VCOMP7,7,U5,15
VCOMP8,0,U11,139
VCOMP8,1,U11,130
VCOMP8,2,U11,122
VCOMP8,3,U11,117
VCOMP8,4,U11,93
VCOMP8,5,U11,81
VCOMP8,6,U11,62
VCOMP8,7,U11,56
VCOMP8,8,U11,47
VCOMP8,9,U11,40
VCOMP8,10,U11,26
VCOMP8,11,U11,17
VCOMP8,12,U11,pdna_pin_145_1
VCOMP8,13,U11,pdna_pin_145_2
VCOMP8,14,U11,140
VCOMP8,15,U11,131
VCOMP8,16,U11,123
VCOMP8,17,U11,118
VCOMP8,18,U11,108
VCOMP8,19,U11,97
VCOMP8,20,U11,95
VCOMP8,21,U11,94
VCOMP8,22,U11,82
VCOMP8,23,U11,79
VCOMP8,24,U11,74
VCOMP8,25,U11,63
VCOMP8,26,U11,57
VCOMP8,27,U11,48
VCOMP8,28,U11,41
VCOMP8,29,U11,36
VCOMP8,30,U11,27
VCOMP8,31,U11,22
VCOMP8,32,U11,19
VCOMP8,33,U11,4
VCOMP8,34,U11,2
VCOMP9,0,U11,138
VCOMP9,1,U11,134
VCOMP9,2,U11,124
VCOMP9,3,U11,116
VCOMP9,4,U11,109
VCOMP9,5,U11,102
VCOMP9,6,U11,84
VCOMP9,7,U11,78
VCOMP9,8,U11,73
VCOMP9,9,U11,70
VCOMP9,10,U11,61
VCOMP9,11,U11,45
VCOMP9,12,U11,38
VCOMP9,13,U11,37
VCOMP9,14,U11,34
VCOMP9,15,U11,29
VCOMP9,16,U11,5
VCOMP9,17,U11,1
VCOMP9,18,U11,pdna_pin_145_1
VCOMP9,19,U11,pdna_pin_145_2
VCOMP9,20,U11,140
VCOMP9,21,U11,131
VCOMP9,22,U11,123
VCOMP9,23,U11,118
VCOMP9,24,U11,108
VCOMP9,25,U11,97
VCOMP9,26,U11,95
VCOMP9,27,U11,94
VCOMP9,28,U11,82
VCOMP9,29,U11,79
VCOMP9,30,U11,74
VCOMP9,31,U11,63
VCOMP9,32,U11,57
VCOMP9,33,U11,48
VCOMP9,34,U11,41
VCOMP9,35,U11,36
VCOMP9,36,U11,27
VCOMP9,37,U11,22
VCOMP9,38,U11,19
VCOMP9,39,U11,4
VCOMP9,40,U11,2
VCOMP10,0,XG1,6
VCOMP10,1,XG1,3
VCOMP11,0,XG2,4
VCOMP11,1,XG2,2
VCOMP12,0,U6,22
VCOMP12,1,U6,32
VCOMP12,2,U6,34
VCOMP12,3,U6,45
VCOMP12,4,U6,46
VCOMP12,5,U6,pdna_pin_49_1
VCOMP12,6,U6,24
VCOMP12,7,U6,31
VCOMP12,8,U6,33
VCOMP12,9,U6,20
VCOMP12,10,U6,19
VCOMP12,11,U6,pdna_pin_49_2
VCOMP12,12,U6,2
VCOMP12,13,U6,1
VCOMP12,14,U6,37
VCOMP12,15,U6,38
VCOMP12,16,U6,44
VCOMP12,17,U6,41
VCOMP13,0,U6,21
VCOMP13,1,U6,47
VCOMP13,2,U6,48
VCOMP13,3,U6,pdna_pin_49_1
VCOMP13,4,U6,24
VCOMP13,5,U6,31
VCOMP13,6,U6,33
VCOMP13,7,U6,20
VCOMP13,8,U6,19
VCOMP13,9,U6,pdna_pin_49_2
VCOMP13,10,U6,2
VCOMP13,11,U6,1
VCOMP13,12,U6,37
VCOMP13,13,U6,38
VCOMP13,14,U6,44
VCOMP13,15,U6,41
VCOMP14,0,U2,1
VCOMP14,1,U2,5
VCOMP14,2,U2,6
VCOMP14,3,U2,15
VCOMP14,4,U2,16
VCOMP14,5,U2,17
VCOMP14,6,U2,32
VCOMP14,7,U2,49
VCOMP14,8,U2,62
VCOMP14,9,U2,pdna_pin_65_1
VCOMP14,10,U2,2
VCOMP14,11,U2,4
VCOMP14,12,U2,7
VCOMP14,13,U2,10
VCOMP14,14,U2,11
VCOMP14,15,U2,14
VCOMP14,16,U2,18
VCOMP14,17,U2,31
VCOMP14,18,U2,50
VCOMP14,19,U2,61
VCOMP14,20,U2,pdna_pin_65_2
VCOMP15,0,U3,10
VCOMP15,1,U3,3
VCOMP15,2,U3,1
VCOMP15,3,U3,pdna_pin_17_1
VCOMP15,4,U3,12
VCOMP15,5,U3,pdna_pin_17_2
VCOMP15,6,U3,9
VCOMP15,7,U3,4
VCOMP16,0,U13,1
VCOMP16,1,U13,2
VCOMP16,2,U13,3
VCOMP16,3,U13,6
VCOMP17,0,U15,3
VCOMP17,1,U15,1
VCOMP18,0,U16,3
VCOMP18,1,U16,1
VCOMP19,0,L3,1
VCOMP19,1,U4,2
VCOMP20,0,U7,3
VCOMP20,1,U7,1
VCOMP20,2,U7,2
VCOMP21,0,U8,3
VCOMP21,1,U8,1
VCOMP21,2,U8,2
VCOMP22,0,U1,1
VCOMP22,1,U1,2
VCOMP22,2,U1,3
VCOMP22,3,U1,6
VCOMP23,0,L5,2
VCOMP23,1,U12,9
VCOMP23,2,U12,8
VCOMP23,3,U12,4
VCOMP24,0,U12,1
VCOMP24,1,U12,2
VCOMP24,2,U12,9
VCOMP24,3,U12,8
VCOMP24,4,U12,4
VCOMP25,0,U13,1
VCOMP25,1,U13,2
VCOMP25,2,U13,4
