refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,13.7993,0.371087,0
VCOMP0,VCOMP0-1,13.7993,0.371087,0
VCOMP0,VCOMP0-2,0,-0.371087,0
VCOMP0,VCOMP0-3,0,-0.371087,0
VCOMP23,VCOMP23-0,4.99822,1.6657,0
VCOMP23,VCOMP23-1,-0.000110521,-0.555233,0
VCOMP23,VCOMP23-2,-0.000110521,-0.555233,0
VCOMP23,VCOMP23-3,-0.000110521,-0.555233,0
VCOMP1,VCOMP1-0,2.50128,-0.00799748,20.5357
VCOMP1,VCOMP1-1,2.50128,-0.00799743,20.5357
VCOMP1,VCOMP1-2,2.50129,-0.00799781,20.5357
VCOMP1,VCOMP1-3,2.50135,-0.0080008,20.5357
VCOMP1,VCOMP1-4,2.50146,-0.00800651,20.5357
VCOMP1,VCOMP1-5,0.00145076,0.00182107,20.5357
VCOMP1,VCOMP1-6,0,0,20.5357
VCOMP1,VCOMP1-7,0.00122689,0.00183197,20.5357
VCOMP1,VCOMP1-8,0.00114417,0.001836,20.5357
VCOMP1,VCOMP1-9,0.00148128,0.00181958,20.5357
VCOMP1,VCOMP1-10,0.00122054,0.00183228,20.5357
VCOMP1,VCOMP1-11,0.00124155,0.00183126,20.5357
VCOMP1,VCOMP1-12,0.00142367,0.00182239,20.5357
VCOMP1,VCOMP1-13,0.0014459,0.0018213,20.5357
VCOMP1,VCOMP1-14,0.00144559,0.00182132,20.5357
VCOMP1,VCOMP1-15,0.00158173,0.00181469,20.5357
VCOMP1,VCOMP1-16,0.00155622,0.00181593,20.5357
VCOMP1,VCOMP1-17,0.00161352,0.00181314,20.5357
VCOMP1,VCOMP1-18,0.0016666,0.00181056,20.5357
VCOMP1,VCOMP1-19,0.00167294,0.00181025,20.5357
VCOMP1,VCOMP1-20,0.0016927,0.00180929,20.5357
VCOMP1,VCOMP1-21,0.00173332,0.00180731,20.5357
VCOMP1,VCOMP1-22,0.0017305,0.00180745,20.5357
VCOMP1,VCOMP1-23,0.00169263,0.00180929,20.5357
VCOMP1,VCOMP1-24,0.00162051,0.0018128,20.5357
VCOMP1,VCOMP1-25,0.00157873,0.00181484,20.5357
VCOMP1,VCOMP1-26,0.00150118,0.00181861,20.5357
VCOMP1,VCOMP1-27,0.00149924,0.00181871,20.5357
VCOMP2,VCOMP2-0,3.29589,-0.0284892,3.23077
VCOMP2,VCOMP2-1,3.296,-0.0285227,3.23077
VCOMP2,VCOMP2-2,3.29602,-0.0285296,3.23077
VCOMP2,VCOMP2-3,3.29633,-0.0286243,3.23077
VCOMP2,VCOMP2-4,3.29498,-0.0282065,3.23077
VCOMP2,VCOMP2-5,3.29826,-0.0292236,3.23077
VCOMP2,VCOMP2-6,3.29561,-0.028404,3.23077
VCOMP2,VCOMP2-7,0.000612393,0.0333713,3.23077
VCOMP2,VCOMP2-8,0.000771703,0.033322,3.23077
VCOMP2,VCOMP2-9,0.000806128,0.0333113,3.23077
VCOMP2,VCOMP2-10,0.0008352,0.0333023,3.23077
VCOMP2,VCOMP2-11,0.000644212,0.0333614,3.23077
VCOMP2,VCOMP2-12,0.000740643,0.0333316,3.23077
VCOMP3,VCOMP3-0,3.29521,-0.00665884,7.5
VCOMP3,VCOMP3-1,3.29523,-0.00666065,7.5
VCOMP3,VCOMP3-2,3.29538,-0.00668052,7.5
VCOMP3,VCOMP3-3,0.000808964,0.02,7.5
VCOMP4,VCOMP4-0,3.2968,-0.00799992,12.5
VCOMP4,VCOMP4-1,3.2968,-0.00800008,12.5
VCOMP4,VCOMP4-2,0.000871892,0.00800028,12.5
VCOMP4,VCOMP4-3,0.000878861,0.00799972,12.5
VCOMP5,VCOMP5-0,3.29701,-0.00266954,18.75
VCOMP5,VCOMP5-1,3.29692,-0.0026647,18.75
VCOMP5,VCOMP5-2,3.29694,-0.00266576,18.75
VCOMP5,VCOMP5-3,0.000675149,0.008,18.75
VCOMP6,VCOMP6-0,3.29932,-0.03,5.83333
VCOMP6,VCOMP6-1,0.000116163,0.00429401,5.83333
VCOMP6,VCOMP6-2,0.000106584,0.00429566,5.83333
VCOMP6,VCOMP6-3,0.000254768,0.00427025,5.83333
VCOMP6,VCOMP6-4,0.000120235,0.00429332,5.83333
VCOMP6,VCOMP6-5,0.000159991,0.0042865,5.83333
VCOMP6,VCOMP6-6,0.000124969,0.0042925,5.83333
VCOMP6,VCOMP6-7,0.000269231,0.00426777,5.83333
VCOMP7,VCOMP7-0,3.29877,-0.00199728,50
VCOMP7,VCOMP7-1,3.29895,-0.00200089,50
VCOMP7,VCOMP7-2,3.29896,-0.00200092,50
VCOMP7,VCOMP7-3,3.29895,-0.0020009,50
VCOMP7,VCOMP7-4,0.000303344,0.00200054,50
VCOMP7,VCOMP7-5,0.000378591,0.00199903,50
VCOMP7,VCOMP7-6,0.000290952,0.00200079,50
VCOMP7,VCOMP7-7,0.000348126,0.00199964,50
VCOMP8,VCOMP8-0,3.29678,-0.00525409,25.034
VCOMP8,VCOMP8-1,3.2967,-0.00525116,25.034
VCOMP8,VCOMP8-2,3.29668,-0.00525007,25.034
VCOMP8,VCOMP8-3,3.29667,-0.00524998,25.034
VCOMP8,VCOMP8-4,3.29664,-0.00524875,25.034
VCOMP8,VCOMP8-5,3.29665,-0.00524918,25.034
VCOMP8,VCOMP8-6,3.29665,-0.00524912,25.034
VCOMP8,VCOMP8-7,3.29666,-0.00524933,25.034
VCOMP8,VCOMP8-8,3.29666,-0.00524936,25.034
VCOMP8,VCOMP8-9,3.29666,-0.00524923,25.034
VCOMP8,VCOMP8-10,3.29667,-0.0052497,25.034
VCOMP8,VCOMP8-11,3.29668,-0.00525006,25.034
VCOMP8,VCOMP8-12,0.00145076,0.002866,25.034
VCOMP8,VCOMP8-13,0,0,25.034
VCOMP8,VCOMP8-14,0.00122689,0.00287495,25.034
VCOMP8,VCOMP8-15,0.00114417,0.00287825,25.034
VCOMP8,VCOMP8-16,0.00148128,0.00286479,25.034
VCOMP8,VCOMP8-17,0.00122054,0.0028752,25.034
VCOMP8,VCOMP8-18,0.00124155,0.00287436,25.034
VCOMP8,VCOMP8-19,0.00142367,0.00286709,25.034
VCOMP8,VCOMP8-20,0.0014459,0.0028662,25.034
VCOMP8,VCOMP8-21,0.00144559,0.00286621,25.034
VCOMP8,VCOMP8-22,0.00158173,0.00286077,25.034
VCOMP8,VCOMP8-23,0.00155622,0.00286179,25.034
VCOMP8,VCOMP8-24,0.00161352,0.0028595,25.034
VCOMP8,VCOMP8-25,0.0016666,0.00285738,25.034
VCOMP8,VCOMP8-26,0.00167294,0.00285713,25.034
VCOMP8,VCOMP8-27,0.0016927,0.00285634,25.034
VCOMP8,VCOMP8-28,0.00173332,0.00285472,25.034
VCOMP8,VCOMP8-29,0.0017305,0.00285483,25.034
VCOMP8,VCOMP8-30,0.00169263,0.00285634,25.034
VCOMP8,VCOMP8-31,0.00162051,0.00285922,25.034
VCOMP8,VCOMP8-32,0.00157873,0.00286089,25.034
VCOMP8,VCOMP8-33,0.00150118,0.00286399,25.034
VCOMP8,VCOMP8-34,0.00149924,0.00286407,25.034
VCOMP9,VCOMP9-0,1.20531,-0.0222242,5.04878
VCOMP9,VCOMP9-1,1.20534,-0.0222304,5.04878
VCOMP9,VCOMP9-2,1.20517,-0.0221962,5.04878
VCOMP9,VCOMP9-3,1.20497,-0.0221571,5.04878
VCOMP9,VCOMP9-4,1.2048,-0.0221245,5.04878
VCOMP9,VCOMP9-5,1.20499,-0.0221622,5.04878
