refdes;pin;voltage;current
J7;3;13.7994;0.0
J7;4;13.7994;0.0
J7;1;0.0;-0.319693
J7;2;0.0;-0.319693
L5;2;4.99814;1.6657
U12;9;-0.000199026;-0.34210399999999996
U12;8;-0.000199026;-0.34210399999999996
U12;4;-0.000199026;-0.34210399999999996
U11;107;2.48739;-0.00799748
U11;96;2.48739;-0.00799743
U11;75;2.4874;-0.00799781
U11;35;2.48746;-0.0080008
U11;3;2.48758;-0.00800651
U11;pdna_pin_145_1;0.0014084;0.02288068
U11;pdna_pin_145_2;0.0;0.0
U11;140;0.00118624;0.02294437
U11;131;0.00110271;0.02296828
U11;123;0.00143889;0.022871879999999997
U11;118;0.0011779;0.02294672
U11;108;0.00119819;0.02294092
U11;97;0.00138072;0.02288863
U11;95;0.00140305;0.022882149999999997
U11;94;0.0014027300000000003;0.02288229
U11;82;0.0015391400000000003;0.022843199999999998
U11;79;0.00151354;0.02285046
U11;74;0.00157091;0.02283408
U11;63;0.00162424;0.022818750000000002
U11;57;0.00163105;0.022816839999999998
U11;48;0.00165049;0.02281122
U11;41;0.00169131;0.022799510000000002
U11;36;0.00168902;0.02280021
U11;27;0.0016505999999999997;0.022811210000000002
U11;22;0.00157839;0.02283192
U11;19;0.00153648;0.02284393
U11;4;0.00145918;0.022866079999999997
U11;2;0.00145726;0.02286665
U18;11;3.2919;-0.0284892
U18;20;3.29201;-0.0285227
U18;21;3.29203;-0.0285296
U18;27;3.29234;-0.0286243
U18;50;3.29099;-0.0282065
U18;75;3.29427;-0.0292236
U18;100;3.29163;-0.028404
U18;10;0.00057415;0.0333695
U18;19;0.000727695;0.033322
U18;26;0.000762071;0.0333114
U18;49;0.000789857;0.0333028
U18;74;0.000596652;0.0333626
U18;99;0.000696376;0.0333317
U17;8;3.29123;-0.00665884
U17;7;3.29124;-0.00666065
U17;3;3.29139;-0.00668052
U17;4;0.000762703;0.02
U19;7;3.29281;-0.00799992
U19;8;3.29281;-0.00800008
U19;4;0.000829203;0.00800028
U19;3;0.000836129;0.00799972
U10;3;3.29302;-0.00266954
U10;7;3.29293;-0.0026647
U10;8;3.29295;-0.00266576
U10;4;0.000641132;0.008
J4;4;3.29533;-0.03
J4;MP5;0.000103479;0.00429274
J4;MP4;9.44165e-05;0.00429429
J4;MP6;0.000232524;0.00427062
J4;MP3;0.000102243;0.00429295
J4;6;0.000137265;0.00428695
J4;MP2;0.000100715;0.00429321
J4;MP1;0.000240523;0.00426925
U5;16;3.29479;-0.00199728
U5;14;3.29497;-0.00200089
U5;13;3.29497;-0.00200092
U5;12;3.29497;-0.0020009
U5;8;0.000254467;0.00200055
U5;9;0.000335316;0.00199894
U5;2;0.000239833;0.00200085
U5;15;0.000298864;0.00199967
U11;139;3.29279;-0.00525409
U11;130;3.29272;-0.00525116
U11;122;3.29269;-0.00525007
U11;117;3.29269;-0.00524998
U11;93;3.29266;-0.00524875
U11;81;3.29267;-0.00524918
U11;62;3.29267;-0.00524912
U11;56;3.29267;-0.00524933
U11;47;3.29267;-0.00524936
U11;40;3.29267;-0.00524923
U11;26;3.29268;-0.0052497
U11;17;3.29269;-0.00525006
U11;138;1.18508;-0.0222242
U11;134;1.18511;-0.0222304
U11;124;1.18493;-0.0221962
U11;116;1.18474;-0.0221571
U11;109;1.18457;-0.0221245
U11;102;1.18476;-0.0221622
U11;84;1.18478;-0.0221656
U11;78;1.18485;-0.0221799
U11;73;1.18482;-0.0221727
U11;70;1.18489;-0.0221874
U11;61;1.18509;-0.0222267
U11;45;1.18533;-0.022274
U11;38;1.1854;-0.0222891
U11;37;1.18539;-0.0222865
U11;34;1.18546;-0.0223001
U11;29;1.1855;-0.0223091
U11;5;1.18523;-0.0222555
U11;1;1.18525;-0.022259
XG1;6;3.28829;-0.0650001
XG1;3;0.00169252;0.0650001
XG2;4;3.28854;-0.0650001
XG2;2;0.00183441;0.0650001
U6;22;3.29277;-0.0109827
U6;32;3.29282;-0.0109858
U6;34;3.29281;-0.0109856
U6;45;3.2933;-0.0110227
U6;46;3.29331;-0.0110232
U6;pdna_pin_49_1;0.00119584;0.0162618
U6;24;0.000955547;0.0163491
U6;31;0.00130058;0.01622373
U6;33;0.00131497;0.016218530000000002
U6;20;0.00123257;0.0162484
U6;19;0.00123257;0.0162484
U6;pdna_pin_49_2;0.0;0.0
U6;2;0.00123285;0.01624828
U6;1;0.00123377;0.01624801
U6;37;0.0012589;0.0162389
U6;38;0.00124875;0.01624257
U6;44;0.00126858;0.01623536
U6;41;0.00126342;0.01623726
U6;21;1.79218;-0.0465852
U6;47;1.7926;-0.0467074
U6;48;1.7926;-0.0467074
U2;1;3.28682;-0.0505007
U2;5;3.28668;-0.0504382
U2;6;3.28667;-0.0504347
U2;15;3.28499;-0.0496985
U2;16;3.28501;-0.0497076
U2;17;3.28499;-0.0496977
U2;32;3.28502;-0.0497115
U2;49;3.28541;-0.0498828
U2;62;3.28552;-0.0499292
U2;pdna_pin_65_1;0.00183192;0.04093
U2;2;0.00189509;0.0409024
U2;4;0.00190678;0.0408973
U2;7;0.00187779;0.0409099
U2;10;0.00187893;0.0409094
U2;11;0.00187757;0.04091
U2;14;0.00187749;0.0409101
U2;18;0.00184403;0.0409247
U2;31;0.0019351;0.0408849
U2;50;0.00186739;0.0409145
U2;61;0.00188293;0.0409077
U2;pdna_pin_65_2;0.0;0.0
U3;10;3.28549;-0.0350149
U3;3;3.28539;-0.0349877
U3;1;3.28543;-0.0349974
U3;pdna_pin_17_1;0.0017907;0.0262517
U3;12;0.00179244;0.0262512
U3;pdna_pin_17_2;0.0;0.0
U3;9;0.00179304;0.026251
U3;4;0.00181093;0.026246
U13;1;4.99615;-0.17254999999999998
U13;2;4.99615;-0.17254999999999998
U13;3;0.000127548;4.99829e-05
U13;6;5.90007e-05;5.00171e-05
U15;3;4.98776;-0.4402
U15;1;0.00159777;0.0001
U16;3;2.48731;-0.4001
U16;1;0.000588203;0.0001
L3;1;4.98904;-0.1301
U4;2;0.00170595;0.0001
U7;3;4.99404;-0.09759999999999999
U7;1;4.99404;-0.09759999999999999
U7;2;0.000813722;0.0001
U8;3;3.29306;-0.07005
U8;1;3.29306;-0.07005
U8;2;0.00145338;0.0001
U1;1;4.98734;-0.27755
U1;2;4.98734;-0.27755
U1;3;0.00175169;4.99981e-05
U1;6;0.00174414;5.00019e-05
U12;1;13.2155;-0.319739
U12;2;13.2154;-0.319647
U13;4;3.29615;0.345
U15;4;2.48776;0.4401
U16;4;1.18731;0.4
U4;5;3.28904;0.13
U7;5;3.29404;0.1951
U8;5;1.79306;0.14
C1;1;3.28734;0.555
C75;2;13.2994;0.0
C74;2;13.2162;0.639386
