x;y;layer1;layer2;voltage1;voltage2;current
31.6703;563.937;TOP_LAYER;GND;0.00172597;0.00172594;0.000170616
31.6703;563.937;GND;POWER;0.00172594;0.00172558;0.000170616
31.6703;563.937;POWER;BOTTOM_LAYER;0.00172558;0.00172546;0.000825288
31.6703;591.657;TOP_LAYER;GND;0.00172896;0.00172887;0.000646339
31.6703;591.657;GND;POWER;0.00172887;0.00172749;0.000646339
31.6703;591.657;POWER;BOTTOM_LAYER;0.00172749;0.00172727;0.00146826
31.6703;1378.82;TOP_LAYER;GND;0.00177593;0.001776;-0.000521027
31.6703;1378.82;GND;POWER;0.001776;0.00177711;-0.000521027
31.6703;1378.82;POWER;BOTTOM_LAYER;0.00177711;0.00177713;-0.000117996
31.7827;1406.54;TOP_LAYER;GND;0.00177855;0.00177855;1.95744e-05
31.7827;1406.54;GND;POWER;0.00177855;0.00177851;1.95744e-05
31.7827;1406.54;POWER;BOTTOM_LAYER;0.00177851;0.0017785;5.51067e-05
36.9436;245.537;TOP_LAYER;GND;13.2994;13.2994;-0
36.9436;245.537;GND;POWER;13.2994;13.2994;1.66563e-11
36.9436;245.537;POWER;BOTTOM_LAYER;13.2994;13.2994;1.21783e-11
42.219;1353.18;TOP_LAYER;GND;0.00177593;0.001776;-0.000521027
42.219;1353.18;GND;POWER;0.001776;0.00177711;-0.000521027
42.219;1353.18;POWER;BOTTOM_LAYER;0.00177711;0.00177724;-0.000879407
47.8726;541.445;TOP_LAYER;GND;0.00172317;0.00172326;-0.000613896
47.8726;541.445;GND;POWER;0.00172326;0.00172457;-0.000613896
47.8726;541.445;POWER;BOTTOM_LAYER;0.00172457;0.00172474;-0.00112833
53.2318;609.078;TOP_LAYER;GND;0.00172984;0.00172973;0.000713137
53.2318;609.078;GND;POWER;0.00172973;0.00172821;0.000713137
53.2318;609.078;POWER;BOTTOM_LAYER;0.00172821;0.00172832;-0.000750426
55.9562;1420.1;TOP_LAYER;GND;0.0017794;0.00177936;0.000310091
55.9562;1420.1;GND;POWER;0.00177936;0.0017787;0.000310091
55.9562;1420.1;POWER;BOTTOM_LAYER;0.0017787;0.00177866;0.000272351
61.3038;245.537;TOP_LAYER;GND;13.2994;13.2994;-0
61.3038;245.537;GND;POWER;13.2994;13.2994;1.66563e-11
61.3038;245.537;POWER;BOTTOM_LAYER;13.2994;13.2994;1.21783e-11
69.9298;1352.47;TOP_LAYER;GND;0.00177603;0.00177611;-0.000528649
69.9298;1352.47;GND;POWER;0.00177611;0.00177723;-0.000528649
69.9298;1352.47;POWER;BOTTOM_LAYER;0.00177723;0.00177724;-6.19388e-05
92.9543;663.739;TOP_LAYER;GND;0.00173334;0.0017333;0.00207989
92.9543;663.739;GND;POWER;0.0017333;0.00173269;0.00207989
92.9543;663.739;POWER;BOTTOM_LAYER;0.00173269;0.00173268;0.000265632
92.9543;863.739;TOP_LAYER;GND;0.00174823;0.00174823;-0.000134329
92.9543;863.739;GND;POWER;0.00174823;0.00174827;-0.000134329
