refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,13.7994,0.319693,0
VCOMP0,VCOMP0-1,13.7994,0.319693,0
VCOMP0,VCOMP0-2,0,-0.319693,0
VCOMP0,VCOMP0-3,0,-0.319693,0
VCOMP23,VCOMP23-0,4.99814,1.6657,0
VCOMP23,VCOMP23-1,-0.000199026,-0.555233,0
VCOMP23,VCOMP23-2,-0.000199026,-0.555233,0
VCOMP23,VCOMP23-3,-0.000199026,-0.555233,0
VCOMP1,VCOMP1-0,2.48739,-0.00799748,20.5357
VCOMP1,VCOMP1-1,2.48739,-0.00799743,20.5357
VCOMP1,VCOMP1-2,2.4874,-0.00799781,20.5357
VCOMP1,VCOMP1-3,2.48746,-0.0080008,20.5357
VCOMP1,VCOMP1-4,2.48758,-0.00800651,20.5357
VCOMP1,VCOMP1-5,0.0014084,0.00182107,20.5357
VCOMP1,VCOMP1-6,0,0,20.5357
VCOMP1,VCOMP1-7,0.00118624,0.00183189,20.5357
VCOMP1,VCOMP1-8,0.00110271,0.00183596,20.5357
VCOMP1,VCOMP1-9,0.00143889,0.00181959,20.5357
VCOMP1,VCOMP1-10,0.0011779,0.0018323,20.5357
VCOMP1,VCOMP1-11,0.00119819,0.00183131,20.5357
VCOMP1,VCOMP1-12,0.00138072,0.00182242,20.5357
VCOMP1,VCOMP1-13,0.00140305,0.00182133,20.5357
VCOMP1,VCOMP1-14,0.00140273,0.00182135,20.5357
VCOMP1,VCOMP1-15,0.00153914,0.00181471,20.5357
VCOMP1,VCOMP1-16,0.00151354,0.00181595,20.5357
VCOMP1,VCOMP1-17,0.00157091,0.00181316,20.5357
VCOMP1,VCOMP1-18,0.00162424,0.00181056,20.5357
VCOMP1,VCOMP1-19,0.00163105,0.00181023,20.5357
VCOMP1,VCOMP1-20,0.00165049,0.00180928,20.5357
VCOMP1,VCOMP1-21,0.00169131,0.0018073,20.5357
VCOMP1,VCOMP1-22,0.00168902,0.00180741,20.5357
VCOMP1,VCOMP1-23,0.0016506,0.00180928,20.5357
VCOMP1,VCOMP1-24,0.00157839,0.0018128,20.5357
VCOMP1,VCOMP1-25,0.00153648,0.00181484,20.5357
VCOMP1,VCOMP1-26,0.00145918,0.0018186,20.5357
VCOMP1,VCOMP1-27,0.00145726,0.00181869,20.5357
VCOMP2,VCOMP2-0,3.2919,-0.0284892,3.23077
VCOMP2,VCOMP2-1,3.29201,-0.0285227,3.23077
VCOMP2,VCOMP2-2,3.29203,-0.0285296,3.23077
VCOMP2,VCOMP2-3,3.29234,-0.0286243,3.23077
VCOMP2,VCOMP2-4,3.29099,-0.0282065,3.23077
VCOMP2,VCOMP2-5,3.29427,-0.0292236,3.23077
VCOMP2,VCOMP2-6,3.29163,-0.028404,3.23077
VCOMP2,VCOMP2-7,0.00057415,0.0333695,3.23077
VCOMP2,VCOMP2-8,0.000727695,0.033322,3.23077
VCOMP2,VCOMP2-9,0.000762071,0.0333114,3.23077
VCOMP2,VCOMP2-10,0.000789857,0.0333028,3.23077
VCOMP2,VCOMP2-11,0.000596652,0.0333626,3.23077
VCOMP2,VCOMP2-12,0.000696376,0.0333317,3.23077
VCOMP3,VCOMP3-0,3.29123,-0.00665884,7.5
VCOMP3,VCOMP3-1,3.29124,-0.00666065,7.5
VCOMP3,VCOMP3-2,3.29139,-0.00668052,7.5
VCOMP3,VCOMP3-3,0.000762703,0.02,7.5
VCOMP4,VCOMP4-0,3.29281,-0.00799992,12.5
VCOMP4,VCOMP4-1,3.29281,-0.00800008,12.5
VCOMP4,VCOMP4-2,0.000829203,0.00800028,12.5
VCOMP4,VCOMP4-3,0.000836129,0.00799972,12.5
VCOMP5,VCOMP5-0,3.29302,-0.00266954,18.75
VCOMP5,VCOMP5-1,3.29293,-0.0026647,18.75
VCOMP5,VCOMP5-2,3.29295,-0.00266576,18.75
VCOMP5,VCOMP5-3,0.000641132,0.008,18.75
VCOMP6,VCOMP6-0,3.29533,-0.03,5.83333
VCOMP6,VCOMP6-1,0.000103479,0.00429274,5.83333
VCOMP6,VCOMP6-2,9.44165e-05,0.00429429,5.83333
VCOMP6,VCOMP6-3,0.000232524,0.00427062,5.83333
VCOMP6,VCOMP6-4,0.000102243,0.00429295,5.83333
VCOMP6,VCOMP6-5,0.000137265,0.00428695,5.83333
VCOMP6,VCOMP6-6,0.000100715,0.00429321,5.83333
VCOMP6,VCOMP6-7,0.000240523,0.00426925,5.83333
VCOMP7,VCOMP7-0,3.29479,-0.00199728,50
VCOMP7,VCOMP7-1,3.29497,-0.00200089,50
VCOMP7,VCOMP7-2,3.29497,-0.00200092,50
VCOMP7,VCOMP7-3,3.29497,-0.0020009,50
VCOMP7,VCOMP7-4,0.000254467,0.00200055,50
VCOMP7,VCOMP7-5,0.000335316,0.00199894,50
VCOMP7,VCOMP7-6,0.000239833,0.00200085,50
VCOMP7,VCOMP7-7,0.000298864,0.00199967,50
VCOMP8,VCOMP8-0,3.29279,-0.00525409,25.034
VCOMP8,VCOMP8-1,3.29272,-0.00525116,25.034
VCOMP8,VCOMP8-2,3.29269,-0.00525007,25.034
VCOMP8,VCOMP8-3,3.29269,-0.00524998,25.034
VCOMP8,VCOMP8-4,3.29266,-0.00524875,25.034
VCOMP8,VCOMP8-5,3.29267,-0.00524918,25.034
VCOMP8,VCOMP8-6,3.29267,-0.00524912,25.034
VCOMP8,VCOMP8-7,3.29267,-0.00524933,25.034
VCOMP8,VCOMP8-8,3.29267,-0.00524936,25.034
VCOMP8,VCOMP8-9,3.29267,-0.00524923,25.034
VCOMP8,VCOMP8-10,3.29268,-0.0052497,25.034
VCOMP8,VCOMP8-11,3.29269,-0.00525006,25.034
VCOMP8,VCOMP8-12,0.0014084,0.00286601,25.034
VCOMP8,VCOMP8-13,0,0,25.034
VCOMP8,VCOMP8-14,0.00118624,0.00287488,25.034
VCOMP8,VCOMP8-15,0.00110271,0.00287822,25.034
VCOMP8,VCOMP8-16,0.00143889,0.00286479,25.034
VCOMP8,VCOMP8-17,0.0011779,0.00287522,25.034
VCOMP8,VCOMP8-18,0.00119819,0.00287441,25.034
VCOMP8,VCOMP8-19,0.00138072,0.00286711,25.034
VCOMP8,VCOMP8-20,0.00140305,0.00286622,25.034
VCOMP8,VCOMP8-21,0.00140273,0.00286624,25.034
VCOMP8,VCOMP8-22,0.00153914,0.00286079,25.034
VCOMP8,VCOMP8-23,0.00151354,0.00286181,25.034
VCOMP8,VCOMP8-24,0.00157091,0.00285952,25.034
VCOMP8,VCOMP8-25,0.00162424,0.00285739,25.034
VCOMP8,VCOMP8-26,0.00163105,0.00285711,25.034
VCOMP8,VCOMP8-27,0.00165049,0.00285634,25.034
VCOMP8,VCOMP8-28,0.00169131,0.00285471,25.034
VCOMP8,VCOMP8-29,0.00168902,0.0028548,25.034
VCOMP8,VCOMP8-30,0.0016506,0.00285633,25.034
VCOMP8,VCOMP8-31,0.00157839,0.00285922,25.034
VCOMP8,VCOMP8-32,0.00153648,0.00286089,25.034
VCOMP8,VCOMP8-33,0.00145918,0.00286398,25.034
VCOMP8,VCOMP8-34,0.00145726,0.00286406,25.034
VCOMP9,VCOMP9-0,1.18508,-0.0222242,5.04878
VCOMP9,VCOMP9-1,1.18511,-0.0222304,5.04878
VCOMP9,VCOMP9-2,1.18493,-0.0221962,5.04878
VCOMP9,VCOMP9-3,1.18474,-0.0221571,5.04878
VCOMP9,VCOMP9-4,1.18457,-0.0221245,5.04878
VCOMP9,VCOMP9-5,1.18476,-0.0221622,5.04878
VCOMP9,VCOMP9-6,1.18478,-0.0221656,5.04878
VCOMP9,VCOMP9-7,1.18485,-0.0221799,5.04878
VCOMP9,VCOMP9-8,1.18482,-0.0221727,5.04878
VCOMP9,VCOMP9-9,1.18489,-0.0221874,5.04878
VCOMP9,VCOMP9-10,1.18509,-0.0222267,5.04878
VCOMP9,VCOMP9-11,1.18533,-0.022274,5.04878
VCOMP9,VCOMP9-12,1.1854,-0.0222891,5.04878
VCOMP9,VCOMP9-13,1.18539,-0.0222865,5.04878
VCOMP9,VCOMP9-14,1.18546,-0.0223001,5.04878
VCOMP9,VCOMP9-15,1.1855,-0.0223091,5.04878
VCOMP9,VCOMP9-16,1.18523,-0.0222555,5.04878
VCOMP9,VCOMP9-17,1.18525,-0.022259,5.04878
VCOMP9,VCOMP9-18,0.0014084,0.0181936,5.04878
VCOMP9,VCOMP9-19,0,0,5.04878
VCOMP9,VCOMP9-20,0.00118624,0.0182376,5.04878
VCOMP9,VCOMP9-21,0.00110271,0.0182541,5.04878
VCOMP9,VCOMP9-22,0.00143889,0.0181875,5.04878
VCOMP9,VCOMP9-23,0.0011779,0.0182392,5.04878
VCOMP9,VCOMP9-24,0.00119819,0.0182352,5.04878
VCOMP9,VCOMP9-25,0.00138072,0.0181991,5.04878
VCOMP9,VCOMP9-26,0.00140305,0.0181946,5.04878
VCOMP9,VCOMP9-27,0.00140273,0.0181947,5.04878
VCOMP9,VCOMP9-28,0.00153914,0.0181677,5.04878
VCOMP9,VCOMP9-29,0.00151354,0.0181727,5.04878
VCOMP9,VCOMP9-30,0.00157091,0.0181614,5.04878
VCOMP9,VCOMP9-31,0.00162424,0.0181508,5.04878
VCOMP9,VCOMP9-32,0.00163105,0.0181495,5.04878
VCOMP9,VCOMP9-33,0.00165049,0.0181456,5.04878
VCOMP9,VCOMP9-34,0.00169131,0.0181375,5.04878
VCOMP9,VCOMP9-35,0.00168902,0.018138,5.04878
VCOMP9,VCOMP9-36,0.0016506,0.0181456,5.04878
VCOMP9,VCOMP9-37,0.00157839,0.0181599,5.04878
VCOMP9,VCOMP9-38,0.00153648,0.0181682,5.04878
VCOMP9,VCOMP9-39,0.00145918,0.0181835,5.04878
VCOMP9,VCOMP9-40,0.00145726,0.0181839,5.04878
VCOMP10,VCOMP10-0,3.28829,-0.0650001,1.53846
VCOMP10,VCOMP10-1,0.00169252,0.0650001,1.53846
VCOMP11,VCOMP11-0,3.28854,-0.0650001,1.53846
VCOMP11,VCOMP11-1,0.00183441,0.0650001,1.53846
VCOMP12,VCOMP12-0,3.29277,-0.0109827,13.1313
VCOMP12,VCOMP12-1,3.29282,-0.0109858,13.1313
VCOMP12,VCOMP12-2,3.29281,-0.0109856,13.1313
VCOMP12,VCOMP12-3,3.2933,-0.0110227,13.1313
VCOMP12,VCOMP12-4,3.29331,-0.0110232,13.1313
VCOMP12,VCOMP12-5,0.00119584,0.0045858,13.1313
VCOMP12,VCOMP12-6,0.000955547,0.0046041,13.1313
VCOMP12,VCOMP12-7,0.00130058,0.00457783,13.1313
VCOMP12,VCOMP12-8,0.00131497,0.00457673,13.1313
VCOMP12,VCOMP12-9,0.00123257,0.004583,13.1313
VCOMP12,VCOMP12-10,0.00123257,0.004583,13.1313
VCOMP12,VCOMP12-11,0,0,13.1313
VCOMP12,VCOMP12-12,0.00123285,0.00458298,13.1313
VCOMP12,VCOMP12-13,0.00123377,0.00458291,13.1313
VCOMP12,VCOMP12-14,0.0012589,0.004581,13.1313
VCOMP12,VCOMP12-15,0.00124875,0.00458177,13.1313
VCOMP12,VCOMP12-16,0.00126858,0.00458026,13.1313
VCOMP12,VCOMP12-17,0.00126342,0.00458066,13.1313
VCOMP13,VCOMP13-0,1.79218,-0.0465852,3.48214
VCOMP13,VCOMP13-1,1.7926,-0.0467074,3.48214
VCOMP13,VCOMP13-2,1.7926,-0.0467074,3.48214
VCOMP13,VCOMP13-3,0.00119584,0.011676,3.48214
VCOMP13,VCOMP13-4,0.000955547,0.011745,3.48214
VCOMP13,VCOMP13-5,0.00130058,0.0116459,3.48214
VCOMP13,VCOMP13-6,0.00131497,0.0116418,3.48214
VCOMP13,VCOMP13-7,0.00123257,0.0116654,3.48214
VCOMP13,VCOMP13-8,0.00123257,0.0116654,3.48214
VCOMP13,VCOMP13-9,0,0,3.48214
VCOMP13,VCOMP13-10,0.00123285,0.0116653,3.48214
VCOMP13,VCOMP13-11,0.00123377,0.0116651,3.48214
VCOMP13,VCOMP13-12,0.0012589,0.0116579,3.48214
VCOMP13,VCOMP13-13,0.00124875,0.0116608,3.48214
VCOMP13,VCOMP13-14,0.00126858,0.0116551,3.48214
VCOMP13,VCOMP13-15,0.00126342,0.0116566,3.48214
VCOMP14,VCOMP14-0,3.28682,-0.0505007,2.28571
VCOMP14,VCOMP14-1,3.28668,-0.0504382,2.28571
VCOMP14,VCOMP14-2,3.28667,-0.0504347,2.28571
VCOMP14,VCOMP14-3,3.28499,-0.0496985,2.28571
VCOMP14,VCOMP14-4,3.28501,-0.0497076,2.28571
VCOMP14,VCOMP14-5,3.28499,-0.0496977,2.28571
VCOMP14,VCOMP14-6,3.28502,-0.0497115,2.28571
VCOMP14,VCOMP14-7,3.28541,-0.0498828,2.28571
VCOMP14,VCOMP14-8,3.28552,-0.0499292,2.28571
VCOMP14,VCOMP14-9,0.00183192,0.04093,2.28571
VCOMP14,VCOMP14-10,0.00189509,0.0409024,2.28571
VCOMP14,VCOMP14-11,0.00190678,0.0408973,2.28571
VCOMP14,VCOMP14-12,0.00187779,0.0409099,2.28571
VCOMP14,VCOMP14-13,0.00187893,0.0409094,2.28571
VCOMP14,VCOMP14-14,0.00187757,0.04091,2.28571
VCOMP14,VCOMP14-15,0.00187749,0.0409101,2.28571
VCOMP14,VCOMP14-16,0.00184403,0.0409247,2.28571
VCOMP14,VCOMP14-17,0.0019351,0.0408849,2.28571
VCOMP14,VCOMP14-18,0.00186739,0.0409145,2.28571
VCOMP14,VCOMP14-19,0.00188293,0.0409077,2.28571
VCOMP14,VCOMP14-20,0,0,2.28571
VCOMP15,VCOMP15-0,3.28549,-0.0350149,3.57143
VCOMP15,VCOMP15-1,3.28539,-0.0349877,3.57143
VCOMP15,VCOMP15-2,3.28543,-0.0349974,3.57143
VCOMP15,VCOMP15-3,0.0017907,0.0262517,3.57143
VCOMP15,VCOMP15-4,0.00179244,0.0262512,3.57143
VCOMP15,VCOMP15-5,0,0,3.57143
VCOMP15,VCOMP15-6,0.00179304,0.026251,3.57143
VCOMP15,VCOMP15-7,0.00181093,0.026246,3.57143
VCOMP16,VCOMP16-0,4.99615,-5e-05,2000
VCOMP16,VCOMP16-1,4.99615,-5e-05,2000
VCOMP16,VCOMP16-2,0.000127548,4.99829e-05,2000
VCOMP16,VCOMP16-3,5.90007e-05,5.00171e-05,2000
VCOMP17,VCOMP17-0,4.98776,-0.0001,1000
VCOMP17,VCOMP17-1,0.00159777,0.0001,1000
VCOMP18,VCOMP18-0,2.48731,-0.0001,1000
VCOMP18,VCOMP18-1,0.000588203,0.0001,1000
VCOMP19,VCOMP19-0,4.98904,-0.0001,1000
VCOMP19,VCOMP19-1,0.00170595,0.0001,1000
VCOMP20,VCOMP20-0,4.99404,-5e-05,2000
VCOMP20,VCOMP20-1,4.99404,-5e-05,2000
VCOMP20,VCOMP20-2,0.000813722,0.0001,2000
VCOMP21,VCOMP21-0,3.29306,-5e-05,2000
VCOMP21,VCOMP21-1,3.29306,-5e-05,2000
VCOMP21,VCOMP21-2,0.00145338,0.0001,2000
VCOMP22,VCOMP22-0,4.98734,-5e-05,2000
VCOMP22,VCOMP22-1,4.98734,-5e-05,2000
VCOMP22,VCOMP22-2,0.00175169,4.99981e-05,2000
VCOMP22,VCOMP22-3,0.00174414,5.00019e-05,2000
VCOMP24,VCOMP24-0,13.2155,-0.319739,0.37536
VCOMP24,VCOMP24-1,13.2154,-0.319647,0.37536
VCOMP24,VCOMP24-2,-0.000199026,0.213129,0.37536
VCOMP24,VCOMP24-3,-0.000199026,0.213129,0.37536
VCOMP24,VCOMP24-4,-0.000199026,0.213129,0.37536
VCOMP25,VCOMP25-0,4.99615,-0.1725,0
VCOMP25,VCOMP25-1,4.99615,-0.1725,0
VCOMP25,VCOMP25-2,3.29615,0.345,0
VCOMP26,VCOMP26-0,4.98776,-0.4401,0
VCOMP26,VCOMP26-1,2.48776,0.4401,0
VCOMP27,VCOMP27-0,2.48731,-0.4,0
VCOMP27,VCOMP27-1,1.18731,0.4,0
VCOMP28,VCOMP28-0,4.98904,-0.13,0
VCOMP28,VCOMP28-1,3.28904,0.13,0
VCOMP29,VCOMP29-0,4.99404,-0.09755,0
VCOMP29,VCOMP29-1,4.99404,-0.09755,0
VCOMP29,VCOMP29-2,3.29404,0.1951,0
VCOMP30,VCOMP30-0,3.29306,-0.07,0
VCOMP30,VCOMP30-1,3.29306,-0.07,0
VCOMP30,VCOMP30-2,1.79306,0.14,0
VCOMP31,VCOMP31-0,4.98734,-0.2775,0
VCOMP31,VCOMP31-1,4.98734,-0.2775,0
VCOMP31,VCOMP31-2,3.28734,0.555,0
VCOMP32,VCOMP32-0,13.7994,-0.319693,6.66667e-07
VCOMP32,VCOMP32-1,13.7994,-0.319693,6.66667e-07
VCOMP32,VCOMP32-2,13.2994,0.639386,6.66667e-07
VCOMP33,VCOMP33-0,13.2994,-0.639386,0.065
VCOMP33,VCOMP33-1,13.2162,0.639386,0.065
