x,y,layer1,layer2,voltage1,voltage2,current
88.2838,323.175,TOP_LAYER,GND,0.011257,0.011256,0.00736871
88.2838,323.175,GND,POWER,0.011256,0.0112511,0.00228023
88.2838,323.175,POWER,BOTTOM_LAYER,0.0112511,0.0112508,0.00228023
202.022,112.938,TOP_LAYER,GND,0.0112622,0.0112621,0.00377801
202.022,112.938,GND,POWER,0.0112621,0.0112614,0.00436624
202.022,112.938,POWER,BOTTOM_LAYER,0.0112614,0.0112614,0.00436624
202.022,1609,TOP_LAYER,GND,0.0111175,0.0111175,1.63019e-13
202.022,1609,GND,POWER,0.0111175,0.0111214,-0.0253325
202.022,1609,POWER,BOTTOM_LAYER,0.0111214,0.0111217,-0.0253325
167.024,323.175,TOP_LAYER,GND,0.011258,0.0112571,0.00623041
167.024,323.175,GND,POWER,0.0112571,0.0112526,0.00213847
167.024,323.175,POWER,BOTTOM_LAYER,0.0112526,0.0112523,0.00213847
245.764,323.175,TOP_LAYER,GND,0.0112599,0.0112591,0.00595376
245.764,323.175,GND,POWER,0.0112591,0.0112549,0.00195306
245.764,323.175,POWER,BOTTOM_LAYER,0.0112549,0.0112546,0.00195306
273.165,844.945,TOP_LAYER,GND,0.011191,0.011191,1.18962e-14
273.165,844.945,GND,POWER,0.011191,0.0111951,-0.00192478
273.165,844.945,POWER,BOTTOM_LAYER,0.0111951,0.0111954,-0.00192478
282.023,1085.1,TOP_LAYER,GND,0.0111556,0.0111559,-0.00211614
282.023,1085.1,GND,POWER,0.0111559,0.0111628,-0.00321677
282.023,1085.1,POWER,BOTTOM_LAYER,0.0111628,0.0111632,-0.00321677
282.023,1114.63,TOP_LAYER,GND,0.0111511,0.0111508,0.00211614
282.023,1114.63,GND,POWER,0.0111508,0.0111583,-0.00352984
282.023,1114.63,POWER,BOTTOM_LAYER,0.0111583,0.0111588,-0.00352984
285.134,86.9548,TOP_LAYER,GND,0.0112686,0.0112685,0.000687062
