x,y,layer1,layer2,voltage1,voltage2,current
88.2838,323.175,TOP_LAYER,GND,0.0103872,0.0103862,0.00678671
88.2838,323.175,GND,POWER,0.0103862,0.0103818,0.00209717
88.2838,323.175,POWER,BOTTOM_LAYER,0.0103818,0.0103815,0.00209717
202.022,112.938,TOP_LAYER,GND,0.010392,0.0103919,0.00347487
202.022,112.938,GND,POWER,0.0103919,0.0103913,0.00401417
202.022,112.938,POWER,BOTTOM_LAYER,0.0103913,0.0103912,0.00401417
202.022,1609,TOP_LAYER,GND,0.0102585,0.0102585,3.26038e-13
202.022,1609,GND,POWER,0.0102585,0.0102621,-0.0234615
202.022,1609,POWER,BOTTOM_LAYER,0.0102621,0.0102624,-0.0234615
167.024,323.175,TOP_LAYER,GND,0.0103882,0.0103873,0.00573745
167.024,323.175,GND,POWER,0.0103873,0.0103831,0.00196645
167.024,323.175,POWER,BOTTOM_LAYER,0.0103831,0.0103828,0.00196645
245.764,323.175,TOP_LAYER,GND,0.0103899,0.0103891,0.0054816
245.764,323.175,GND,POWER,0.0103891,0.0103853,0.00179522
245.764,323.175,POWER,BOTTOM_LAYER,0.0103853,0.010385,0.00179522
273.165,844.945,TOP_LAYER,GND,0.0103264,0.0103264,2.37923e-14
273.165,844.945,GND,POWER,0.0103264,0.0103302,-0.00178541
273.165,844.945,POWER,BOTTOM_LAYER,0.0103302,0.0103305,-0.00178541
282.023,1085.1,TOP_LAYER,GND,0.0102937,0.010294,-0.00195557
282.023,1085.1,GND,POWER,0.010294,0.0103004,-0.00298242
282.023,1085.1,POWER,BOTTOM_LAYER,0.0103004,0.0103008,-0.00298242
282.023,1114.63,TOP_LAYER,GND,0.0102896,0.0102893,0.00195557
282.023,1114.63,GND,POWER,0.0102893,0.0102963,-0.00327265
282.023,1114.63,POWER,BOTTOM_LAYER,0.0102963,0.0102968,-0.00327265
285.134,86.9548,TOP_LAYER,GND,0.0103979,0.0103978,0.000631523
285.134,86.9548,GND,POWER,0.0103978,0.0103963,0.00067687
285.134,86.9548,POWER,BOTTOM_LAYER,0.0103963,0.0103962,0.00067687
285.134,244.435,TOP_LAYER,GND,0.0103938,0.0103936,0.00155262
285.134,244.435,GND,POWER,0.0103936,0.0103912,0.00110229
285.134,244.435,POWER,BOTTOM_LAYER,0.0103912,0.0103911,0.00110229
324.504,323.175,TOP_LAYER,GND,0.0103924,0.0103915,0.00568222
324.504,323.175,GND,POWER,0.0103915,0.0103883,0.00150726
324.504,323.175,POWER,BOTTOM_LAYER,0.0103883,0.0103881,0.00150726
363.875,244.435,TOP_LAYER,GND,0.0103969,0.0103967,0.00110484
363.875,244.435,GND,POWER,0.0103967,0.0103949,0.000824386
363.875,244.435,POWER,BOTTOM_LAYER,0.0103949,0.0103948,0.000824386
371.59,1013.25,TOP_LAYER,GND,0.0103039,0.0103042,-0.00212952
371.59,1013.25,GND,POWER,0.0103042,0.0103098,-0.00262027
371.59,1013.25,POWER,BOTTOM_LAYER,0.0103098,0.0103102,-0.00262027
371.59,1042.78,TOP_LAYER,GND,0.0102994,0.010299,0.00212952
371.59,1042.78,GND,POWER,0.010299,0.0103045,-0.00255416
371.59,1042.78,POWER,BOTTOM_LAYER,0.0103045,0.0103049,-0.00255416
372.574,940.746,TOP_LAYER,GND,0.0103145,0.0103149,-0.00294102
372.574,940.746,GND,POWER,0.0103149,0.0103209,-0.00282114
372.574,940.746,POWER,BOTTOM_LAYER,0.0103209,0.0103213,-0.00282114
372.574,970.273,TOP_LAYER,GND,0.0103114,0.010311,0.00294102
372.574,970.273,GND,POWER,0.010311,0.0103157,-0.00221429
372.574,970.273,POWER,BOTTOM_LAYER,0.0103157,0.010316,-0.00221429
372.574,1085.76,TOP_LAYER,GND,0.0102917,0.010292,-0.00230634
372.574,1085.76,GND,POWER,0.010292,0.0102993,-0.00343683
372.574,1085.76,POWER,BOTTOM_LAYER,0.0102993,0.0102998,-0.00343683
372.574,1115.29,TOP_LAYER,GND,0.0102868,0.0102864,0.00230634
372.574,1115.29,GND,POWER,0.0102864,0.0102945,-0.00378497
372.574,1115.29,POWER,BOTTOM_LAYER,0.0102945,0.0102951,-0.00378497
403.245,165.695,TOP_LAYER,GND,0.0104024,0.0104024,0.000572067
403.245,165.695,GND,POWER,0.0104024,0.0104009,0.000703015
403.245,165.695,POWER,BOTTOM_LAYER,0.0104009,0.0104008,0.000703015
442.615,86.9548,TOP_LAYER,GND,0.0104075,0.0104075,0.000628936
442.615,86.9548,GND,POWER,0.0104075,0.0104059,0.000722533
442.615,86.9548,POWER,BOTTOM_LAYER,0.0104059,0.0104058,0.000722533
481.985,165.695,TOP_LAYER,GND,0.0104091,0.0104088,0.00197542
481.985,165.695,GND,POWER,0.0104088,0.0104068,0.000953659
481.985,165.695,POWER,BOTTOM_LAYER,0.0104068,0.0104066,0.000953659
486.091,738.646,TOP_LAYER,GND,0.0103435,0.0103435,3.67486e-05
486.091,738.646,GND,POWER,0.0103435,0.0103475,-0.00188062
486.091,738.646,POWER,BOTTOM_LAYER,0.0103475,0.0103477,-0.00188062
515.619,738.646,TOP_LAYER,GND,0.0103435,0.0103435,-3.67486e-05
515.619,738.646,GND,POWER,0.0103435,0.0103475,-0.00185952
515.619,738.646,POWER,BOTTOM_LAYER,0.0103475,0.0103477,-0.00185952
521.355,86.9548,TOP_LAYER,GND,0.0104146,0.0104145,0.000872452
521.355,86.9548,GND,POWER,0.0104145,0.0104127,0.000863407
521.355,86.9548,POWER,BOTTOM_LAYER,0.0104127,0.0104125,0.000863407
560.725,165.695,TOP_LAYER,GND,0.0104173,0.0104168,0.00340872
560.725,165.695,GND,POWER,0.0104168,0.010414,0.00130634
560.725,165.695,POWER,BOTTOM_LAYER,0.010414,0.0104138,0.00130634
600.095,86.9548,TOP_LAYER,GND,0.010423,0.0104229,0.00108385
600.095,86.9548,GND,POWER,0.0104229,0.0104207,0.0010195
600.095,86.9548,POWER,BOTTOM_LAYER,0.0104207,0.0104206,0.0010195
637.737,1027.62,TOP_LAYER,GND,0.010293,0.010293,-2.44073e-13
637.737,1027.62,GND,POWER,0.010293,0.0103002,-0.0350197
637.737,1027.62,POWER,BOTTOM_LAYER,0.0103002,0.0103007,-0.0350197
639.465,165.695,TOP_LAYER,GND,0.0104264,0.0104258,0.0039916
639.465,165.695,GND,POWER,0.0104258,0.0104225,0.00154775
639.465,165.695,POWER,BOTTOM_LAYER,0.0104225,0.0104223,0.00154775
683.211,1442.77,TOP_LAYER,GND,0.0101909,0.0101909,-0
683.211,1442.77,GND,POWER,0.0101909,0.0102108,-0.0394919
683.211,1442.77,POWER,BOTTOM_LAYER,0.0102108,0.0102122,-0.0394919
678.835,86.9548,TOP_LAYER,GND,0.0104327,0.0104325,0.00119594
678.835,86.9548,GND,POWER,0.0104325,0.0104302,0.00111531
678.835,86.9548,POWER,BOTTOM_LAYER,0.0104302,0.01043,0.00111531
718.205,165.695,TOP_LAYER,GND,0.0104368,0.0104361,0.00426055
718.205,165.695,GND,POWER,0.0104361,0.0104326,0.00168273
718.205,165.695,POWER,BOTTOM_LAYER,0.0104326,0.0104323,0.00168273
722.64,701.245,TOP_LAYER,GND,0.0103526,0.0103526,-0.000109575
722.64,701.245,GND,POWER,0.0103526,0.0103588,-0.00293087
722.64,701.245,POWER,BOTTOM_LAYER,0.0103588,0.0103592,-0.00293087
722.64,830.182,TOP_LAYER,GND,0.0103161,0.0103162,-0.0010321
722.64,830.182,GND,POWER,0.0103162,0.0103329,-0.00784663
722.64,830.182,POWER,BOTTOM_LAYER,0.0103329,0.0103341,-0.00784663
752.168,701.245,TOP_LAYER,GND,0.0103524,0.0103524,0.000109575
752.168,701.245,GND,POWER,0.0103524,0.0103588,-0.00299044
752.168,701.245,POWER,BOTTOM_LAYER,0.0103588,0.0103592,-0.00299044
752.168,830.182,TOP_LAYER,GND,0.0103139,0.0103137,0.0010321
752.168,830.182,GND,POWER,0.0103137,0.0103328,-0.00894173
752.168,830.182,POWER,BOTTOM_LAYER,0.0103328,0.0103341,-0.00894173
757.576,86.9548,TOP_LAYER,GND,0.0104436,0.0104434,0.00122525
757.576,86.9548,GND,POWER,0.0104434,0.0104411,0.00110763
757.576,86.9548,POWER,BOTTOM_LAYER,0.0104411,0.0104409,0.00110763
796.946,165.695,TOP_LAYER,GND,0.0104479,0.0104474,0.00348805
796.946,165.695,GND,POWER,0.0104474,0.010444,0.00155937
796.946,165.695,POWER,BOTTOM_LAYER,0.010444,0.0104438,0.00155937
836.316,244.435,TOP_LAYER,GND,0.0104503,0.0104493,0.00687165
836.316,244.435,GND,POWER,0.0104493,0.010445,0.00203796
836.316,244.435,POWER,BOTTOM_LAYER,0.010445,0.0104447,0.00203796
836.316,401.916,TOP_LAYER,GND,0.010438,0.0104354,0.0175916
836.316,401.916,GND,POWER,0.0104354,0.0104282,0.0033838
836.316,401.916,POWER,BOTTOM_LAYER,0.0104282,0.0104277,0.0033838
875.686,323.175,TOP_LAYER,GND,0.0104485,0.0104477,0.00564979
875.686,323.175,GND,POWER,0.0104477,0.010444,0.00169306
875.686,323.175,POWER,BOTTOM_LAYER,0.010444,0.0104438,0.00169306
875.686,480.656,TOP_LAYER,GND,0.0104304,0.0104266,0.0260721
875.686,480.656,GND,POWER,0.0104266,0.010422,0.00215886
875.686,480.656,POWER,BOTTOM_LAYER,0.010422,0.0104217,0.00215886
915.056,86.9548,TOP_LAYER,GND,0.0104695,0.0104694,0.000569124
915.056,86.9548,GND,POWER,0.0104694,0.0104682,0.000563915
915.056,86.9548,POWER,BOTTOM_LAYER,0.0104682,0.0104681,0.000563915
915.056,244.435,TOP_LAYER,GND,0.0104597,0.0104595,0.00109825
915.056,244.435,GND,POWER,0.0104595,0.010458,0.000716207
915.056,244.435,POWER,BOTTOM_LAYER,0.010458,0.0104579,0.000716207
915.056,401.916,TOP_LAYER,GND,0.0104448,0.0104437,0.00782702
915.056,401.916,GND,POWER,0.0104437,0.0104424,0.00058875
915.056,401.916,POWER,BOTTOM_LAYER,0.0104424,0.0104423,0.00058875
954.426,165.695,TOP_LAYER,GND,0.0104727,0.0104727,0.000261098
954.426,165.695,GND,POWER,0.0104727,0.0104719,0.000378829
954.426,165.695,POWER,BOTTOM_LAYER,0.0104719,0.0104718,0.000378829
954.426,323.175,TOP_LAYER,GND,0.0104568,0.0104567,0.00065386
954.426,323.175,GND,POWER,0.0104567,0.0104573,-0.000297476
954.426,323.175,POWER,BOTTOM_LAYER,0.0104573,0.0104574,-0.000297476
993.796,244.435,TOP_LAYER,GND,0.0104704,0.0104708,-0.00272098
993.796,244.435,GND,POWER,0.0104708,0.0104716,-0.000375648
993.796,244.435,POWER,BOTTOM_LAYER,0.0104716,0.0104717,-0.000375648
993.796,401.916,TOP_LAYER,GND,0.0104538,0.0104527,0.00718804
993.796,401.916,GND,POWER,0.0104527,0.0104585,-0.00269526
993.796,401.916,POWER,BOTTOM_LAYER,0.0104585,0.0104589,-0.00269526
1033.17,323.175,TOP_LAYER,GND,0.0104643,0.010465,-0.00531241
1033.17,323.175,GND,POWER,0.010465,0.0104698,-0.00225695
1033.17,323.175,POWER,BOTTOM_LAYER,0.0104698,0.0104702,-0.00225695
1033.17,480.656,TOP_LAYER,GND,0.0104494,0.0104451,0.0295796
1033.17,480.656,GND,POWER,0.0104451,0.0104632,-0.0085071
1033.17,480.656,POWER,BOTTOM_LAYER,0.0104632,0.0104645,-0.0085071
1037.93,1082.15,TOP_LAYER,GND,0.0101711,0.0101717,-0.00418075
1037.93,1082.15,GND,POWER,0.0101717,0.0101784,-0.00312653
1037.93,1082.15,POWER,BOTTOM_LAYER,0.0101784,0.0101789,-0.00312653
1072.54,86.9548,TOP_LAYER,GND,0.010506,0.0105059,0.000197331
1072.54,86.9548,GND,POWER,0.0105059,0.0105062,-0.000145363
1072.54,86.9548,POWER,BOTTOM_LAYER,0.0105062,0.0105062,-0.000145363
1100.92,1082.15,TOP_LAYER,GND,0.010166,0.0101657,0.00185849
1100.92,1082.15,GND,POWER,0.0101657,0.0101745,-0.00412273
1100.92,1082.15,POWER,BOTTOM_LAYER,0.0101745,0.0101751,-0.00412273
1111.91,165.695,TOP_LAYER,GND,0.0105142,0.0105136,0.00408007
1111.91,165.695,GND,POWER,0.0105136,0.0105146,-0.000503188
1111.91,165.695,POWER,BOTTOM_LAYER,0.0105146,0.0105147,-0.000503188
1151.28,86.9548,TOP_LAYER,GND,0.0105291,0.0105291,0.000143235
1151.28,86.9548,GND,POWER,0.0105291,0.0105307,-0.000759941
1151.28,86.9548,POWER,BOTTOM_LAYER,0.0105307,0.0105308,-0.000759941
1190.65,165.695,TOP_LAYER,GND,0.0105393,0.0105386,0.00459759
1190.65,165.695,GND,POWER,0.0105386,0.0105435,-0.00229209
1190.65,165.695,POWER,BOTTOM_LAYER,0.0105435,0.0105438,-0.00229209
1230.02,86.9548,TOP_LAYER,GND,0.0105538,0.0105538,-0.000258968
1230.02,86.9548,GND,POWER,0.0105538,0.0105565,-0.00123544
1230.02,86.9548,POWER,BOTTOM_LAYER,0.0105565,0.0105566,-0.00123544
1269.39,165.695,TOP_LAYER,GND,0.0105626,0.0105624,0.00176672
1269.39,165.695,GND,POWER,0.0105624,0.0105678,-0.00252187
1269.39,165.695,POWER,BOTTOM_LAYER,0.0105678,0.0105681,-0.00252187
1308.76,86.9548,TOP_LAYER,GND,0.0105802,0.0105803,-0.000627706
1308.76,86.9548,GND,POWER,0.0105803,0.010583,-0.00128896
1308.76,86.9548,POWER,BOTTOM_LAYER,0.010583,0.0105832,-0.00128896
1308.76,244.435,TOP_LAYER,GND,0.0105634,0.0105634,-0.000249379
1308.76,244.435,GND,POWER,0.0105634,0.0105755,-0.00564397
1308.76,244.435,POWER,BOTTOM_LAYER,0.0105755,0.0105763,-0.00564397
1308.76,401.916,TOP_LAYER,GND,0.0105367,0.0105325,0.0288539
1308.76,401.916,GND,POWER,0.0105325,0.0105578,-0.0118622
1308.76,401.916,POWER,BOTTOM_LAYER,0.0105578,0.0105595,-0.0118622
1308.76,1031.84,TOP_LAYER,GND,0.0101463,0.0101392,0.0486991
1308.76,1031.84,GND,POWER,0.0101392,0.0101572,-0.00844518
1308.76,1031.84,POWER,BOTTOM_LAYER,0.0101572,0.0101584,-0.00844518
1323.83,1461.41,TOP_LAYER,GND,0.00975659,0.00975659,4.6219e-14
1323.83,1461.41,GND,POWER,0.00975659,0.00975659,-1.23266e-13
1323.83,1461.41,POWER,BOTTOM_LAYER,0.00975659,0.00975659,-9.24381e-14
1369.04,697.893,TOP_LAYER,GND,0.0102546,0.0102556,-0.0720316
1369.04,697.893,GND,POWER,0.0102556,0.0102523,0.0160093
1369.04,697.893,POWER,BOTTOM_LAYER,0.0102523,0.0102521,0.0160093
1348.13,165.695,TOP_LAYER,GND,0.0105884,0.0105885,-0.000666569
1348.13,165.695,GND,POWER,0.0105885,0.0105934,-0.00229682
1348.13,165.695,POWER,BOTTOM_LAYER,0.0105934,0.0105937,-0.00229682
1387.5,86.9548,TOP_LAYER,GND,0.0106098,0.0106099,-0.000491284
1387.5,86.9548,GND,POWER,0.0106099,0.0106119,-0.000948811
1387.5,86.9548,POWER,BOTTOM_LAYER,0.0106119,0.0106121,-0.000948811
1387.5,874.357,TOP_LAYER,GND,0.010197,0.0101974,-0.00239899
1387.5,874.357,GND,POWER,0.0101974,0.0102248,-0.0128738
1387.5,874.357,POWER,BOTTOM_LAYER,0.0102248,0.0102267,-0.0128738
