x,y,layer1,layer2,voltage1,voltage2,current
72.9745,576.632,TOP_LAYER,BOTTOM_LAYER,0.0239537,0.0239538,-0.00018331
72.9745,2190.8,TOP_LAYER,BOTTOM_LAYER,0.0239173,0.0239173,-8.93477e-06
100.534,505.766,TOP_LAYER,BOTTOM_LAYER,0.0239545,0.0239548,-0.000572796
100.534,647.498,TOP_LAYER,BOTTOM_LAYER,0.0239529,0.0239521,0.00138305
100.534,2119.94,TOP_LAYER,BOTTOM_LAYER,0.0239173,0.0239174,-2.44388e-05
100.534,2261.67,TOP_LAYER,BOTTOM_LAYER,0.0239173,0.0239173,1.88456e-07
171.4,478.207,TOP_LAYER,BOTTOM_LAYER,0.0239549,0.0239559,-0.0016976
202.022,546.009,TOP_LAYER,BOTTOM_LAYER,0.0239538,0.0239539,-0.000617201
171.4,675.057,TOP_LAYER,BOTTOM_LAYER,0.0239525,0.0239511,0.00247716
171.4,2092.38,TOP_LAYER,BOTTOM_LAYER,0.0239173,0.0239173,-1.31049e-05
202.022,2160.18,TOP_LAYER,BOTTOM_LAYER,0.0239173,0.0239173,-3.70364e-06
171.4,2289.23,TOP_LAYER,BOTTOM_LAYER,0.0239173,0.0239173,9.35243e-07
242.266,505.766,TOP_LAYER,BOTTOM_LAYER,0.0239547,0.0239554,-0.00124
242.266,647.498,TOP_LAYER,BOTTOM_LAYER,0.0239531,0.0239523,0.00136071
242.266,2119.94,TOP_LAYER,BOTTOM_LAYER,0.0239173,0.0239173,2.23238e-05
242.266,2261.67,TOP_LAYER,BOTTOM_LAYER,0.0239173,0.0239173,6.99805e-06
269.825,576.632,TOP_LAYER,BOTTOM_LAYER,0.0239541,0.0239546,-0.000910001
269.825,2190.8,TOP_LAYER,BOTTOM_LAYER,0.0239173,0.0239173,1.97366e-05
727.304,1263.84,TOP_LAYER,BOTTOM_LAYER,0.0239179,0.0239179,-8.67926e-14
708.801,1993.95,TOP_LAYER,BOTTOM_LAYER,0.0239081,0.0239081,-4.175e-14
1388.79,2012.59,TOP_LAYER,BOTTOM_LAYER,0.0238861,0.0238861,-2.8185e-08
1662.34,991.2,TOP_LAYER,BOTTOM_LAYER,0.0238881,0.0238881,-8.67926e-14
1900.6,2012.59,TOP_LAYER,BOTTOM_LAYER,0.0238861,0.0238861,2.81793e-08
2567.31,2090.56,TOP_LAYER,BOTTOM_LAYER,0.0213816,0.0213816,-4.18147e-15
3275.58,2090.56,TOP_LAYER,BOTTOM_LAYER,0.0190025,0.0190025,-4.18147e-15
3710.77,1747.89,TOP_LAYER,BOTTOM_LAYER,0.0181931,0.0181931,-2.38571e-14
3907.62,1747.89,TOP_LAYER,BOTTOM_LAYER,13.7785,13.7785,6.10743e-12
4098.64,1562.19,TOP_LAYER,BOTTOM_LAYER,13.7789,13.7789,0.035561
4118.33,1522.82,TOP_LAYER,BOTTOM_LAYER,13.7788,13.7787,0.0427753
4118.33,1601.56,TOP_LAYER,BOTTOM_LAYER,13.7791,13.779,0.105905
4118.33,1759.04,TOP_LAYER,BOTTOM_LAYER,13.7788,13.779,-0.119488
4128.09,576.632,TOP_LAYER,BOTTOM_LAYER,0.0329969,0.0323751,1.06894
4138.01,1562.19,TOP_LAYER,BOTTOM_LAYER,13.7789,13.7788,0.0533346
4165.51,1651.41,TOP_LAYER,BOTTOM_LAYER,13.78,13.7794,1.93392
4165.51,1867.95,TOP_LAYER,BOTTOM_LAYER,0,0.00382478,-12.2652
4155.65,505.766,TOP_LAYER,BOTTOM_LAYER,0.033491,0.0329093,1.00011
4155.65,647.498,TOP_LAYER,BOTTOM_LAYER,0.0330337,0.0323374,1.19706
4157.7,1522.82,TOP_LAYER,BOTTOM_LAYER,13.7787,13.7786,0.0557835
4157.7,1759.04,TOP_LAYER,BOTTOM_LAYER,13.7788,13.7789,-0.0591965
4177.38,1483.45,TOP_LAYER,BOTTOM_LAYER,13.7785,13.7785,-0.0145407
4177.38,1562.19,TOP_LAYER,BOTTOM_LAYER,13.7788,13.7787,0.025162
4197.07,1522.82,TOP_LAYER,BOTTOM_LAYER,13.7786,13.7785,0.0584195
4197.07,1601.56,TOP_LAYER,BOTTOM_LAYER,13.779,13.7787,0.156396
4197.07,1759.04,TOP_LAYER,BOTTOM_LAYER,13.7787,13.7788,-0.0432985
4215.69,1423.29,TOP_LAYER,BOTTOM_LAYER,13.7784,13.7784,0.0982258
4216.75,1483.45,TOP_LAYER,BOTTOM_LAYER,13.7784,13.7784,-0.0202835
4216.75,1562.19,TOP_LAYER,BOTTOM_LAYER,13.7786,13.7786,-0.00295986
4216.75,1640.93,TOP_LAYER,BOTTOM_LAYER,13.7789,13.7788,0.0408489
4216.75,1719.67,TOP_LAYER,BOTTOM_LAYER,13.7787,13.7788,-0.0612937
